ensemble,repeat,fold,model,weight,train_ap
cnn_hierarchical,2,2,timemil_hierarchical_curves_scalars,0.0,0.37471779804274
cnn_hierarchical,2,3,current_cnn,0.8,0.32704357123593736
cnn_hierarchical,2,3,timemil_hierarchical_curves_scalars,0.2,0.32704357123593736
cnn_hierarchical,2,4,current_cnn,1.0,0.300496571369776
cnn_hierarchical,2,4,timemil_hierarchical_curves_scalars,0.0,0.300496571369776
cnn_mantis_moment,0,0,current_cnn,0.7,0.3544087509638927
cnn_mantis_moment,0,0,mantis_random_frozen_curves_scalars,0.3,0.3544087509638927
cnn_mantis_moment,0,0,moment_small_frozen_curves_scalars,0.0,0.3544087509638927
cnn_mantis_moment,0,1,current_cnn,0.6,0.3943566612347026
cnn_mantis_moment,0,1,mantis_random_frozen_curves_scalars,0.4,0.3943566612347026
cnn_mantis_moment,0,1,moment_small_frozen_curves_scalars,0.0,0.3943566612347026
cnn_mantis_moment,0,2,current_cnn,0.6,0.35829103356201847
cnn_mantis_moment,0,2,mantis_random_frozen_curves_scalars,0.4,0.35829103356201847
cnn_mantis_moment,0,2,moment_small_frozen_curves_scalars,0.0,0.35829103356201847
cnn_mantis_moment,0,3,current_cnn,0.9,0.3778235917930791
cnn_mantis_moment,0,3,mantis_random_frozen_curves_scalars,0.1,0.3778235917930791
cnn_mantis_moment,0,3,moment_small_frozen_curves_scalars,0.0,0.3778235917930791
cnn_mantis_moment,0,4,current_cnn,0.4,0.4108688152326262
cnn_mantis_moment,0,4,mantis_random_frozen_curves_scalars,0.1,0.4108688152326262
cnn_mantis_moment,0,4,moment_small_frozen_curves_scalars,0.5,0.4108688152326262
cnn_mantis_moment,1,0,current_cnn,0.8,0.4321934153239533
cnn_mantis_moment,1,0,mantis_random_frozen_curves_scalars,0.0,0.4321934153239533
cnn_mantis_moment,1,0,moment_small_frozen_curves_scalars,0.2,0.4321934153239533
cnn_mantis_moment,1,1,current_cnn,0.7,0.38139634990733934
cnn_mantis_moment,1,1,mantis_random_frozen_curves_scalars,0.3,0.38139634990733934
cnn_mantis_moment,1,1,moment_small_frozen_curves_scalars,0.0,0.38139634990733934
cnn_mantis_moment,1,2,current_cnn,0.7,0.3738608911356688
cnn_mantis_moment,1,2,mantis_random_frozen_curves_scalars,0.3,0.3738608911356688
cnn_mantis_moment,1,2,moment_small_frozen_curves_scalars,0.0,0.3738608911356688
cnn_mantis_moment,1,3,current_cnn,0.4,0.3820434243405829
cnn_mantis_moment,1,3,mantis_random_frozen_curves_scalars,0.4,0.3820434243405829
cnn_mantis_moment,1,3,moment_small_frozen_curves_scalars,0.2,0.3820434243405829
cnn_mantis_moment,1,4,current_cnn,0.4,0.3589772168609841
cnn_mantis_moment,1,4,mantis_random_frozen_curves_scalars,0.4,0.3589772168609841
cnn_mantis_moment,1,4,moment_small_frozen_curves_scalars,0.2,0.3589772168609841
cnn_mantis_moment,2,0,current_cnn,0.8,0.3938222524551002
cnn_mantis_moment,2,0,mantis_random_frozen_curves_scalars,0.2,0.3938222524551002
cnn_mantis_moment,2,0,moment_small_frozen_curves_scalars,0.0,0.3938222524551002
cnn_mantis_moment,2,1,current_cnn,0.7,0.34964548060588924
cnn_mantis_moment,2,1,mantis_random_frozen_curves_scalars,0.3,0.34964548060588924
cnn_mantis_moment,2,1,moment_small_frozen_curves_scalars,0.0,0.34964548060588924
cnn_mantis_moment,2,2,current_cnn,0.9,0.3868576642702479
cnn_mantis_moment,2,2,mantis_random_frozen_curves_scalars,0.0,0.3868576642702479
cnn_mantis_moment,2,2,moment_small_frozen_curves_scalars,0.1,0.3868576642702479
cnn_mantis_moment,2,3,current_cnn,0.4,0.4111587607972313
cnn_mantis_moment,2,3,mantis_random_frozen_curves_scalars,0.4,0.4111587607972313
cnn_mantis_moment,2,3,moment_small_frozen_curves_scalars,0.2,0.4111587607972313
cnn_mantis_moment,2,4,current_cnn,0.6,0.372032962628116
cnn_mantis_moment,2,4,mantis_random_frozen_curves_scalars,0.4,0.372032962628116
cnn_mantis_moment,2,4,moment_small_frozen_curves_scalars,0.0,0.372032962628116
cnn_mantis_timemil,0,0,current_cnn,0.2,0.3841097281114715
cnn_mantis_timemil,0,0,mantis_random_frozen_curves_scalars,0.1,0.3841097281114715
cnn_mantis_timemil,0,0,timemil_curves_scalars,0.7,0.3841097281114715
cnn_mantis_timemil,0,1,current_cnn,0.5,0.39497493865226924
cnn_mantis_timemil,0,1,mantis_random_frozen_curves_scalars,0.4,0.39497493865226924
cnn_mantis_timemil,0,1,timemil_curves_scalars,0.1,0.39497493865226924
cnn_mantis_timemil,0,2,current_cnn,0.6,0.36168924187111173
cnn_mantis_timemil,0,2,mantis_random_frozen_curves_scalars,0.1,0.36168924187111173
cnn_mantis_timemil,0,2,timemil_curves_scalars,0.3,0.36168924187111173
cnn_mantis_timemil,0,3,current_cnn,0.6,0.37852635012081387
cnn_mantis_timemil,0,3,mantis_random_frozen_curves_scalars,0.1,0.37852635012081387
cnn_mantis_timemil,0,3,timemil_curves_scalars,0.3,0.37852635012081387
cnn_mantis_timemil,0,4,current_cnn,0.5,0.40364432715685733
cnn_mantis_timemil,0,4,mantis_random_frozen_curves_scalars,0.4,0.40364432715685733
cnn_mantis_timemil,0,4,timemil_curves_scalars,0.1,0.40364432715685733
cnn_mantis_timemil,1,0,current_cnn,0.9,0.42937164770372205
cnn_mantis_timemil,1,0,mantis_random_frozen_curves_scalars,0.1,0.42937164770372205
cnn_mantis_timemil,1,0,timemil_curves_scalars,0.0,0.42937164770372205
cnn_mantis_timemil,1,1,current_cnn,0.3,0.38535739806515307
cnn_mantis_timemil,1,1,mantis_random_frozen_curves_scalars,0.3,0.38535739806515307
cnn_mantis_timemil,1,1,timemil_curves_scalars,0.4,0.38535739806515307
cnn_mantis_timemil,1,2,current_cnn,0.3,0.3762988335410808
cnn_mantis_timemil,1,2,mantis_random_frozen_curves_scalars,0.3,0.3762988335410808
cnn_mantis_timemil,1,2,timemil_curves_scalars,0.4,0.3762988335410808
cnn_mantis_timemil,1,3,current_cnn,0.2,0.39044540638981495
cnn_mantis_timemil,1,3,mantis_random_frozen_curves_scalars,0.1,0.39044540638981495
cnn_mantis_timemil,1,3,timemil_curves_scalars,0.7,0.39044540638981495
cnn_mantis_timemil,1,4,current_cnn,0.5,0.35642684047852846
cnn_mantis_timemil,1,4,mantis_random_frozen_curves_scalars,0.4,0.35642684047852846
cnn_mantis_timemil,1,4,timemil_curves_scalars,0.1,0.35642684047852846
cnn_mantis_timemil,2,0,current_cnn,0.8,0.3938222524551002
cnn_mantis_timemil,2,0,mantis_random_frozen_curves_scalars,0.2,0.3938222524551002
cnn_mantis_timemil,2,0,timemil_curves_scalars,0.0,0.3938222524551002
cnn_mantis_timemil,2,1,current_cnn,0.7,0.3502231406798674
cnn_mantis_timemil,2,1,mantis_random_frozen_curves_scalars,0.1,0.3502231406798674
cnn_mantis_timemil,2,1,timemil_curves_scalars,0.2,0.3502231406798674
cnn_mantis_timemil,2,2,current_cnn,0.4,0.38956688208669454
cnn_mantis_timemil,2,2,mantis_random_frozen_curves_scalars,0.1,0.38956688208669454
cnn_mantis_timemil,2,2,timemil_curves_scalars,0.5,0.38956688208669454
cnn_mantis_timemil,2,3,current_cnn,0.0,0.42002823508413467
cnn_mantis_timemil,2,3,mantis_random_frozen_curves_scalars,0.4,0.42002823508413467
cnn_mantis_timemil,2,3,timemil_curves_scalars,0.6,0.42002823508413467
cnn_mantis_timemil,2,4,current_cnn,0.6,0.3733022068482332
cnn_mantis_timemil,2,4,mantis_random_frozen_curves_scalars,0.3,0.3733022068482332
cnn_mantis_timemil,2,4,timemil_curves_scalars,0.1,0.3733022068482332
cnn_mantis_moment_timemil,0,0,current_cnn,0.2,0.3841097281114715
cnn_mantis_moment_timemil,0,0,mantis_random_frozen_curves_scalars,0.1,0.3841097281114715
cnn_mantis_moment_timemil,0,0,moment_small_frozen_curves_scalars,0.0,0.3841097281114715
cnn_mantis_moment_timemil,0,0,timemil_curves_scalars,0.7,0.3841097281114715
cnn_mantis_moment_timemil,0,1,current_cnn,0.5,0.39497493865226924
cnn_mantis_moment_timemil,0,1,mantis_random_frozen_curves_scalars,0.4,0.39497493865226924
cnn_mantis_moment_timemil,0,1,moment_small_frozen_curves_scalars,0.0,0.39497493865226924
cnn_mantis_moment_timemil,0,1,timemil_curves_scalars,0.1,0.39497493865226924
cnn_mantis_moment_timemil,0,2,current_cnn,0.6,0.36168924187111173
