family,model,seed_index,repeat,fold,best_epoch,best_val_loss,parameters,seconds
neural,inception_segment_curves_scalars,0,2,2,15,0.9603296518325806,72818,8.030808448791504
neural,inception_segment_curves_scalars,1,2,2,15,0.9807131290435791,72818,8.133016109466553
neural,inception_segment_curves_scalars,2,2,2,10,0.972080647945404,72818,7.1100709438323975
neural,convtran_small_curves,0,2,2,6,1.0075546503067017,120978,2.304696559906006
neural,convtran_small_curves,1,2,2,5,1.0101423263549805,120978,2.628542184829712
neural,convtran_small_curves,2,2,2,1,1.0129497051239014,120978,2.429471015930176
neural,convtran_small_curves_scalars,0,2,2,6,1.0097581148147583,129250,3.3127779960632324
neural,convtran_small_curves_scalars,1,2,2,5,1.0104074478149414,129250,3.277843475341797
neural,convtran_small_curves_scalars,2,2,2,5,1.002833604812622,129250,3.3468940258026123
neural,inception_whole_curves,0,2,3,11,1.1360478401184082,66162,6.005168914794922
neural,inception_whole_curves,1,2,3,12,1.1345877647399902,66162,7.029904127120972
neural,inception_whole_curves,2,2,3,11,1.099821925163269,66162,6.888885974884033
neural,inception_whole_curves_scalars,0,2,3,13,1.002532958984375,74434,7.6811676025390625
neural,inception_whole_curves_scalars,1,2,3,16,1.1093225479125977,74434,8.475086450576782
neural,inception_whole_curves_scalars,2,2,3,13,1.0607706308364868,74434,7.718867778778076
neural,inception_segment_curves,0,2,3,9,1.1440980434417725,64546,6.8853535652160645
neural,inception_segment_curves,1,2,3,9,1.1549665927886963,64546,6.4846062660217285
neural,inception_segment_curves,2,2,3,11,1.1193689107894897,64546,6.890714406967163
neural,inception_segment_curves_scalars,0,2,3,17,1.1532673835754395,72818,8.771714210510254
neural,inception_segment_curves_scalars,1,2,3,11,1.1149975061416626,72818,7.078329801559448
neural,inception_segment_curves_scalars,2,2,3,13,1.1341898441314697,72818,7.486103296279907
neural,convtran_small_curves,0,2,3,5,1.1533176898956299,120978,2.2736473083496094
neural,convtran_small_curves,1,2,3,6,1.1490614414215088,120978,2.685607433319092
neural,convtran_small_curves,2,2,3,3,1.1679081916809082,120978,2.6167385578155518
neural,convtran_small_curves_scalars,0,2,3,4,1.1621454954147339,129250,3.069124698638916
neural,convtran_small_curves_scalars,1,2,3,5,1.1674673557281494,129250,3.263841152191162
neural,convtran_small_curves_scalars,2,2,3,7,1.1531535387039185,129250,3.6326346397399902
neural,inception_whole_curves,0,2,4,1,1.0780326128005981,66162,3.664728879928589
neural,inception_whole_curves,1,2,4,10,1.0712426900863647,66162,6.272115230560303
neural,inception_whole_curves,2,2,4,8,1.0653579235076904,66162,5.9116926193237305
neural,inception_whole_curves_scalars,0,2,4,6,1.0833404064178467,74434,5.739741563796997
neural,inception_whole_curves_scalars,1,2,4,10,1.0587838888168335,74434,6.824965000152588
neural,inception_whole_curves_scalars,2,2,4,1,1.0788121223449707,74434,4.6598124504089355
neural,inception_segment_curves,0,2,4,8,1.0682437419891357,64546,6.341296434402466
neural,inception_segment_curves,1,2,4,9,1.0699479579925537,64546,6.343874454498291
neural,inception_segment_curves,2,2,4,23,1.0491307973861694,64546,9.886626958847046
neural,inception_segment_curves_scalars,0,2,4,9,1.0498384237289429,72818,6.624337911605835
neural,inception_segment_curves_scalars,1,2,4,12,1.0552462339401245,72818,7.297287464141846
neural,inception_segment_curves_scalars,2,2,4,1,1.0755140781402588,72818,4.600407600402832
neural,convtran_small_curves,0,2,4,2,1.0648971796035767,120978,1.9895884990692139
neural,convtran_small_curves,1,2,4,3,1.0796788930892944,120978,2.2780184745788574
neural,convtran_small_curves,2,2,4,4,1.0677385330200195,120978,2.848647356033325
neural,convtran_small_curves_scalars,0,2,4,2,1.0734673738479614,129250,2.8177874088287354
neural,convtran_small_curves_scalars,1,2,4,3,1.0748943090438843,129250,3.0565857887268066
neural,convtran_small_curves_scalars,2,2,4,4,1.0752921104431152,129250,3.1781039237976074
