model,repeat,fold,best_epoch,best_val_loss,parameters,seconds,iterations,loss_first,loss_last,pca_components
scalar_mlp,0,4,12.0,1.2656714916229248,9506.0,1.410287380218506,,,,
scalar_mlp,1,0,19.0,0.9909548163414,9506.0,1.7991108894348145,,,,
scalar_mlp,1,1,1.0,1.36654794216156,9506.0,1.067758083343506,,,,
scalar_mlp,1,2,8.0,1.243166208267212,9506.0,1.5533528327941897,,,,
scalar_mlp,1,3,10.0,1.2170809507369995,9506.0,1.7069661617279053,,,,
scalar_mlp,1,4,24.0,0.9635428786277772,9506.0,2.421940565109253,,,,
scalar_mlp,2,0,9.0,1.0488921403884888,9506.0,1.684648036956787,,,,
scalar_mlp,2,1,1.0,1.1285206079483032,9506.0,1.3111817836761477,,,,
scalar_mlp,2,2,14.0,1.0052986145019531,9506.0,2.000051021575928,,,,
scalar_mlp,2,3,17.0,1.0872688293457031,9506.0,2.130553722381592,,,,
scalar_mlp,2,4,21.0,0.96395605802536,9506.0,2.3730111122131348,,,,
