index,model,segment,temporal_patch,mean,std
232,timemil_curves_scalars,2,5,0.004709776631799065,0.0005174505174934723
233,timemil_curves_scalars,2,6,0.004302439485293101,0.00044594403313164704
234,timemil_curves_scalars,2,7,0.004724058567178475,0.0006754907378324033
235,timemil_curves_scalars,2,8,0.004065202528556042,0.00042502999640923165
236,timemil_curves_scalars,2,9,0.004765355713008081,0.000496569906111169
237,timemil_curves_scalars,2,10,0.0044592100258196606,0.0006213188615742472
238,timemil_curves_scalars,2,11,0.004371239397745235,0.0008075288254486819
239,timemil_curves_scalars,2,12,0.004362155319418476,0.0008570116131191666
240,timemil_curves_scalars,3,1,0.004894233589498874,0.0010474776764081298
241,timemil_curves_scalars,3,2,0.005416461342883085,0.0013973803531010334
242,timemil_curves_scalars,3,3,0.0044067365277809,0.000791800941796499
243,timemil_curves_scalars,3,4,0.0056480373590480255,0.0012088394976586501
244,timemil_curves_scalars,3,5,0.004821518094654532,0.0006181008687957225
245,timemil_curves_scalars,3,6,0.004403346100775134,0.0005007824424254933
246,timemil_curves_scalars,3,7,0.004785847446114263,0.0007054340958876483
247,timemil_curves_scalars,3,8,0.004130264629703798,0.0004725568756476934
248,timemil_curves_scalars,3,9,0.0048308062245834525,0.0006020571894241787
249,timemil_curves_scalars,3,10,0.004476721878867878,0.0006268323702302806
250,timemil_curves_scalars,3,11,0.0043612489361362925,0.0007618144473548766
251,timemil_curves_scalars,3,12,0.004358034051696481,0.0007992745836832174
252,timemil_curves_scalars,4,1,0.0049178138680505655,0.0010779693354210722
253,timemil_curves_scalars,4,2,0.005409395192092394,0.001443580455050553
254,timemil_curves_scalars,4,3,0.00441140473522872,0.0007874387788936874
255,timemil_curves_scalars,4,4,0.0056564159879163535,0.0011581337316071607
256,timemil_curves_scalars,4,5,0.00480134945515418,0.0005853848509107709
257,timemil_curves_scalars,4,6,0.004379044562781684,0.00044203255974652634
258,timemil_curves_scalars,4,7,0.004804498937661846,0.0006722255828417553
259,timemil_curves_scalars,4,8,0.004134481556580535,0.00045572342759016407
260,timemil_curves_scalars,4,9,0.004817457394204846,0.0005626047070065981
261,timemil_curves_scalars,4,10,0.004484406127516149,0.0005738131648338608
262,timemil_curves_scalars,4,11,0.004339828529637777,0.0006610559209914549
263,timemil_curves_scalars,4,12,0.004353742950650699,0.0007643074374675392
264,timemil_curves_scalars,5,1,0.005001841787984516,0.0011056547697999228
265,timemil_curves_scalars,5,2,0.005601846751905665,0.0013567264179404621
266,timemil_curves_scalars,5,3,0.004489221260882914,0.0007549747381821771
267,timemil_curves_scalars,5,4,0.005601673069050019,0.0011148039680057337
268,timemil_curves_scalars,5,5,0.0047284183053284135,0.0004905561773888501
269,timemil_curves_scalars,5,6,0.004305883805744913,0.0004310219536293934
270,timemil_curves_scalars,5,7,0.004749055313016875,0.0006733848431897281
271,timemil_curves_scalars,5,8,0.0041213749542034096,0.0004787560320965472
272,timemil_curves_scalars,5,9,0.0048250261793977445,0.0006021443988593744
273,timemil_curves_scalars,5,10,0.00449743851854959,0.0006204237166442109
274,timemil_curves_scalars,5,11,0.004368032116497702,0.0007610441247674862
275,timemil_curves_scalars,5,12,0.00431759051094223,0.0007679504229000526
276,timemil_curves_scalars,6,1,0.004949977827853202,0.0011389883934728741
277,timemil_curves_scalars,6,2,0.005478312886523537,0.0013929050822344676
278,timemil_curves_scalars,6,3,0.004415188681240342,0.0007187571051361683
279,timemil_curves_scalars,6,4,0.005607443666007339,0.0011485711767950629
280,timemil_curves_scalars,6,5,0.0047298932268026,0.000499177203820297
281,timemil_curves_scalars,6,6,0.004294697774433288,0.0003933778566377937
282,timemil_curves_scalars,6,7,0.0047448265059076315,0.0006112679608756966
283,timemil_curves_scalars,6,8,0.004106726302734005,0.0004815898155133639
284,timemil_curves_scalars,6,9,0.0048245364406826995,0.0005757491012897452
285,timemil_curves_scalars,6,10,0.0045118938501486,0.0006029497788917546
286,timemil_curves_scalars,6,11,0.004413513676067736,0.0008493090563091032
287,timemil_curves_scalars,6,12,0.004328649905862428,0.0007703110196123003
288,timemil_curves_scalars,7,1,0.004643416319809416,0.000843143324439146
289,timemil_curves_scalars,7,2,0.0050765842829337895,0.0011687277276479589
290,timemil_curves_scalars,7,3,0.004297533975483677,0.000667459568254904
291,timemil_curves_scalars,7,4,0.005594039678244907,0.0010899459574775783
292,timemil_curves_scalars,7,5,0.0047577466784405106,0.00048742603051351777
293,timemil_curves_scalars,7,6,0.004315219759870665,0.00039353105389311086
294,timemil_curves_scalars,7,7,0.00477330492586367,0.0006857607814640918
295,timemil_curves_scalars,7,8,0.004103146697895429,0.00045491699800560614
296,timemil_curves_scalars,7,9,0.004789717011192829,0.0005430116115093449
297,timemil_curves_scalars,7,10,0.004416512462365276,0.000535164235722595
298,timemil_curves_scalars,7,11,0.004283985118146892,0.0006570096748922691
299,timemil_curves_scalars,7,12,0.00425383188867425,0.0006720235736466212
300,timemil_curves_scalars,8,1,0.004573131666886581,0.0008277552578041968
301,timemil_curves_scalars,8,2,0.004867751003603036,0.0008793101989652006
302,timemil_curves_scalars,8,3,0.004152271128650911,0.0005547599209834684
303,timemil_curves_scalars,8,4,0.005435391616843203,0.0009868867819931779
304,timemil_curves_scalars,8,5,0.004675788036938913,0.00044882048212672516
305,timemil_curves_scalars,8,6,0.004254588181301639,0.0003697971291214168
306,timemil_curves_scalars,8,7,0.004695285183080167,0.0006038797257896654
307,timemil_curves_scalars,8,8,0.004046084206676534,0.0003923694701580169
308,timemil_curves_scalars,8,9,0.004749755625526945,0.0004479420544661676
309,timemil_curves_scalars,8,10,0.0044017027312216635,0.0005728631017423642
310,timemil_curves_scalars,8,11,0.004308563564168368,0.0007199454386217899
311,timemil_curves_scalars,8,12,0.004268123192063086,0.0008147306072874043
312,timemil_curves_scalars,9,1,0.004635273158049383,0.0008805815225235921
313,timemil_curves_scalars,9,2,0.005041692990950551,0.0011142893523484372
314,timemil_curves_scalars,9,3,0.004222292067608288,0.0005971211964810453
315,timemil_curves_scalars,9,4,0.0054912089835852385,0.0010113012095521099
316,timemil_curves_scalars,9,5,0.00470228517670654,0.0004910637626166737
317,timemil_curves_scalars,9,6,0.00427394436022752,0.00037173406402095274
318,timemil_curves_scalars,9,7,0.0047169577236436,0.0006702035853505418
319,timemil_curves_scalars,9,8,0.004056103238953324,0.0004092167657062788
320,timemil_curves_scalars,9,9,0.004735356599812498,0.0004972481692410686
321,timemil_curves_scalars,9,10,0.004428515765432487,0.0006011608616948136
322,timemil_curves_scalars,9,11,0.004316750787660291,0.0007268110786553748
323,timemil_curves_scalars,9,12,0.004317774088121951,0.0007921988680728489
324,timemil_curves_scalars,10,1,0.004730073280217705,0.0009307933066827318
325,timemil_curves_scalars,10,2,0.0051005791467731865,0.0010990218528997703
326,timemil_curves_scalars,10,3,0.004273840900267936,0.000653925008359936
327,timemil_curves_scalars,10,4,0.005559061053248138,0.0011021852722671427
328,timemil_curves_scalars,10,5,0.004717529928429099,0.0004778240875411747
329,timemil_curves_scalars,10,6,0.004278078109824232,0.0003944134340085766
330,timemil_curves_scalars,10,7,0.004698689142633386,0.0005781775619481416
331,timemil_curves_scalars,10,8,0.00405689501966655,0.0004084443391465092
332,timemil_curves_scalars,10,9,0.004760738833956108,0.0005532149805383045
333,timemil_curves_scalars,10,10,0.004421579334571832,0.000586386468443788
334,timemil_curves_scalars,10,11,0.0043062218445345385,0.0006844334711559289
335,timemil_curves_scalars,10,12,0.0042907378642170245,0.0007874982128942091
336,timemil_curves_scalars,11,1,0.004895713206717134,0.0011194828573744301
337,timemil_curves_scalars,11,2,0.00529667829503814,0.001229148735964606
338,timemil_curves_scalars,11,3,0.0043747009975569585,0.00071195881453434
339,timemil_curves_scalars,11,4,0.005603582323372301,0.0011130217328835378
340,timemil_curves_scalars,11,5,0.00472267612153586,0.0004718281910524899
341,timemil_curves_scalars,11,6,0.004325877161923514,0.0004436817442637812
342,timemil_curves_scalars,11,7,0.0047646090016551625,0.0006176144588859281
343,timemil_curves_scalars,11,8,0.004121946510389259,0.0004456933186465716
344,timemil_curves_scalars,11,9,0.004820374912824952,0.0005879775571400261
345,timemil_curves_scalars,11,10,0.004481607355459147,0.0006284837729493083
346,timemil_curves_scalars,11,11,0.004360740184549149,0.0007627095100868348
347,timemil_curves_scalars,11,12,0.0043684705131209825,0.0008933884067538633
348,timemil_curves_scalars,12,1,0.004740005712212697,0.0009397374842150672
349,timemil_curves_scalars,12,2,0.005286613646542512,0.0012976467259621794
350,timemil_curves_scalars,12,3,0.00436737119541073,0.0006968642957728639
351,timemil_curves_scalars,12,4,0.00557768001111553,0.0011063277801230053
352,timemil_curves_scalars,12,5,0.0047272774537618295,0.0004841621231361515
353,timemil_curves_scalars,12,6,0.004300378475283437,0.0003929811527183132
354,timemil_curves_scalars,12,7,0.004764530853712696,0.0006613662030056089
355,timemil_curves_scalars,12,8,0.004144327449925369,0.0005338765795562061
356,timemil_curves_scalars,12,9,0.0048665670196705755,0.0006567278051584527
357,timemil_curves_scalars,12,10,0.004473192362944369,0.0006029732012119602
358,timemil_curves_scalars,12,11,0.0043834364276473265,0.0008072834202825219
359,timemil_curves_scalars,12,12,0.004376328950395666,0.0008375103425562465
360,timemil_curves_scalars,13,1,0.004699143425545835,0.000848147929476718
361,timemil_curves_scalars,13,2,0.005015532488097288,0.0009272406897453497
362,timemil_curves_scalars,13,3,0.0042102812650464784,0.0005837051571660805
363,timemil_curves_scalars,13,4,0.005491033328517082,0.0009901046571743764
364,timemil_curves_scalars,13,5,0.004693605089873201,0.000469657188779905
365,timemil_curves_scalars,13,6,0.0042799452619094935,0.00039089310090272255
366,timemil_curves_scalars,13,7,0.004742629427908912,0.0006777244810292738
367,timemil_curves_scalars,13,8,0.004090478359095501,0.0004642481802962592
368,timemil_curves_scalars,13,9,0.00479996734310505,0.0004828195295480641
369,timemil_curves_scalars,13,10,0.00447081309398871,0.0005893541855769097
370,timemil_curves_scalars,13,11,0.004375390286807816,0.0007475130305863713
371,timemil_curves_scalars,13,12,0.00436804724070674,0.0007955998225343108
372,timemil_curves_scalars,14,1,0.004723230654671162,0.0008704901557805397
373,timemil_curves_scalars,14,2,0.004996321899738132,0.0009861236770255517
374,timemil_curves_scalars,14,3,0.004210026885828927,0.0005638781384192074
375,timemil_curves_scalars,14,4,0.005520309388105359,0.001067535004092629
376,timemil_curves_scalars,14,5,0.0046998993219698176,0.0004711156305105134
377,timemil_curves_scalars,14,6,0.004272753853123917,0.0003822745456979021
378,timemil_curves_scalars,14,7,0.004668713174564685,0.0006078634601746742
379,timemil_curves_scalars,14,8,0.004068616687656701,0.000498622787357708
380,timemil_curves_scalars,14,9,0.004769465629747059,0.0005841060990327905
381,timemil_curves_scalars,14,10,0.004420650521285457,0.0005786518243774068
