task,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
mid_roll2_rel10,original18__gpu_curve_net,clinical_ridge,194,-0.14273961332784857,-0.22006436177222763,-0.0521116202507459,-0.1183178408201806,-0.21981853692465744,-0.01735140317930223,0.023799398289600232,0.004101852205599153,0.04089340254657064
mid_roll2_rel10,noapex__transmural_sparse,clinical_ridge,194,-0.07349513231866167,-0.16323372177144646,0.009251058849903569,-0.06343295175825492,-0.17374801507941762,0.03700957100219623,0.011765646064470336,-0.0058426829638316006,0.02961336244781349
mid_roll2_rel10,noapex__variability_sparse,clinical_ridge,194,-0.11833264774441232,-0.17912350320245055,-0.06063161786453708,-0.11255610555401885,-0.18918806740947972,-0.049584734968474646,0.015241187496848413,0.004103043858134308,0.02617565373705556
mid_roll2_rel10,noapex__combined_trees,clinical_ridge,194,-0.15645139174550926,-0.25446128431426246,-0.053403702766922426,-0.13206528375122395,-0.24211958597369665,-0.032209485018744474,-0.013628528404969809,-0.041698153999953386,0.010631604556836946
mid_roll2_rel10,noapex__gpu_curve_net,clinical_ridge,194,-0.21006444535856295,-0.3102038747931605,-0.11349658079123698,-0.16200486043681916,-0.2710559952151693,-0.07996943272650313,0.02693224952522205,0.00827276542416404,0.04512624687726798
mid_roll2_rel10,noapex_fixed_qc__transmural_sparse,clinical_ridge,194,-0.09913615795968722,-0.17832561660346288,-0.014368909520953791,-0.061113416357481465,-0.16490131445576425,0.04027087893880766,0.014143812126957256,-0.001754816661653348,0.030341230946654585
mid_roll2_rel10,noapex_fixed_qc__variability_sparse,clinical_ridge,194,-0.10612916495269431,-0.17443365103963465,-0.04136856939871442,-0.10284169891989581,-0.18196072477266206,-0.04292103918115295,0.012107577416837406,-0.0004343361875020837,0.023281281976127315
mid_roll2_rel10,noapex_fixed_qc__combined_trees,clinical_ridge,194,-0.1452077334430275,-0.2610382326155923,-0.03213310612935163,-0.11276547162347045,-0.24526703384019974,-0.007254372639862883,-0.01446993893285592,-0.0400336677145339,0.013231458328423191
mid_roll2_rel10,noapex_fixed_qc__gpu_curve_net,clinical_ridge,194,-0.19895790484025766,-0.2912808542827526,-0.10050377649400839,-0.15808014159052103,-0.2699780286063858,-0.06608542345343713,0.024006440905768395,0.00339631422211458,0.042992844859668
mid_roll2_rel10,noapex_shape_qc__transmural_sparse,clinical_ridge,194,-0.12340600575894678,-0.2041434182246991,-0.03555585932186919,-0.07588867974972163,-0.1883800296634452,0.03711927678430254,0.01750305483952469,0.00013634198818134125,0.03388936328540847
mid_roll2_rel10,noapex_shape_qc__variability_sparse,clinical_ridge,194,-0.15096668037844496,-0.20984743365855496,-0.09504274708639211,-0.12379088056224213,-0.1957438672495453,-0.06315117565622054,0.019923195721655323,0.008695753550138218,0.030509252301604273
mid_roll2_rel10,noapex_shape_qc__combined_trees,clinical_ridge,194,-0.13711778417660758,-0.23809008602612847,-0.038194609675702124,-0.11881313360124879,-0.21477592777994298,-0.0355230790446242,-0.016296572136906995,-0.040739465474511745,0.009585633485885942
mid_roll2_rel10,noapex_shape_qc__gpu_curve_net,clinical_ridge,194,-0.18689153983271628,-0.2866731899980671,-0.08976039218566417,-0.14201293604423137,-0.2576083825675023,-0.04293343331498176,0.026508229794659666,0.007137097817107924,0.04587120079970582
mid_roll2_rel12,original18__transmural_sparse,clinical_ridge,194,-0.024279448621553956,-0.11124827761556388,0.05559515080518435,-0.023385595718259627,-0.11103808542707924,0.046304210313661304,-0.012618686379798877,-0.02983958673381108,0.006481942188509066
mid_roll2_rel12,original18__variability_sparse,clinical_ridge,194,-0.05889724310776956,-0.1345537891216829,0.018777322620978257,-0.03509943394610243,-0.11051470443954484,0.018089454164474987,0.0016151809373910753,-0.014088964233330146,0.015507800692712785
mid_roll2_rel12,original18__combined_trees,clinical_ridge,194,-0.043389724310777034,-0.14999945095033831,0.06465416666666664,-0.016100418902179392,-0.10799500938078442,0.055263165324986215,-0.04725363026760257,-0.07301935965875879,-0.020391113579164472
