task,model,n,events,prevalence,roc_auc,average_precision,brier_score,sensitivity_top20pct,precision_top20pct,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_score_ci_low,brier_score_ci_high
mid_first_rel20,noapex__variability_sparse,262,29,0.11068702290076336,0.6153618469735089,0.2176625444106624,0.21200565108673766,0.3103448275862069,0.16981132075471697,0.5024519923620118,0.7235582972582972,0.11311660875441946,0.36944010103631375,0.19141808294043888,0.23371864327636382
mid_first_rel20,noapex__combined_trees,262,29,0.11068702290076336,0.5579399141630902,0.13202431107839097,0.12028240449214214,0.2413793103448276,0.1320754716981132,0.4550934847856031,0.6599950877210907,0.08694913931595495,0.2189279621814445,0.09649813965066452,0.14384942788913832
mid_roll2_rel10,noapex__transmural_sparse,194,51,0.26288659793814434,0.5944055944055944,0.34045313779765507,0.23547929200753914,0.2549019607843137,0.3333333333333333,0.5030301925025329,0.68764525559152,0.24979794132257951,0.47463589352881275,0.21885912423003018,0.25412275593367323
mid_roll2_rel10,noapex__variability_sparse,194,51,0.26288659793814434,0.5495680789798437,0.29132998400189114,0.23895483343991722,0.19607843137254902,0.2564102564102564,0.45711343955440364,0.6434627356287941,0.2157054682314578,0.41365032165058413,0.2269157248767929,0.2512646504856779
mid_roll2_rel10,noapex__combined_trees,194,51,0.26288659793814434,0.5114493349787468,0.27182080580468604,0.210085117538099,0.1568627450980392,0.20512820512820512,0.4267170407014157,0.5968718190980096,0.20829069301957331,0.37034030893982617,0.18894321618954182,0.23338044596465568
mid_roll2_rel12,noapex__transmural_sparse,194,42,0.21649484536082475,0.5590538847117794,0.2387304635998035,0.2280368985436196,0.16666666666666666,0.1794871794871795,0.4600321266975897,0.6622902494331065,0.1763322976596216,0.3457314682396422,0.21254508747719628,0.24406421649188514
mid_roll2_rel12,noapex__variability_sparse,194,42,0.21649484536082475,0.5054824561403508,0.23204703583582395,0.2368019019182452,0.14285714285714285,0.15384615384615385,0.41003648663044634,0.6062936008126714,0.16829680475781728,0.3433289436006313,0.22508484035940382,0.24850559943471753
mid_roll2_rel12,noapex__combined_trees,194,42,0.21649484536082475,0.5075187969924813,0.22914651704225708,0.19005711718019672,0.19047619047619047,0.20512820512820512,0.4095936719488434,0.6050021037331701,0.16487740656747996,0.34239259160686614,0.16676634867714055,0.21514627381624704
mid_roll2_rel15,noapex__transmural_sparse,194,29,0.14948453608247422,0.49299895506792063,0.15227664691292225,0.22097700628435607,0.20689655172413793,0.15384615384615385,0.38059081196581196,0.6083108412055782,0.10423960965565982,0.23479501618643903,0.20291796116124444,0.24118611374858887
mid_roll2_rel15,noapex__variability_sparse,194,29,0.14948453608247422,0.4693834900731453,0.16630495658948996,0.22673382085808258,0.20689655172413793,0.15384615384615385,0.341674149211492,0.6025976399331662,0.10827344241414759,0.29795594077010434,0.21168016769890818,0.2435795277844667
