task,comparison,reference_model,candidate_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high
mid_roll2_rel12,shape_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_shape_qc__combined_trees,194,0.007048872180451138,-0.05285873909177233,0.07026735406806386,0.008211703431442313,-0.028535431798638333,0.04694116628554055
mid_roll2_rel12,remove_apex__gpu_curve_net,original18__gpu_curve_net,noapex__gpu_curve_net,194,-0.05921052631578949,-0.14811100709106845,0.02456989247311832,-0.03642839984503615,-0.1109159803067964,0.008690437433243563
mid_roll2_rel12,fixed_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_fixed_qc__gpu_curve_net,194,-0.001801378446115276,-0.05970243232194764,0.0524507206231368,0.004440753225244037,-0.02069195504183542,0.03800171728075102
mid_roll2_rel12,shape_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_shape_qc__gpu_curve_net,194,0.0401785714285714,-0.027862002384408006,0.10384680430485389,0.029641308667960165,-0.007224403451612993,0.08964782935521284
mid_roll2_rel15,remove_apex__transmural_sparse,original18__transmural_sparse,noapex__transmural_sparse,194,-0.08714733542319747,-0.18663518446193597,0.004226346730551965,-0.03721531968215197,-0.12502743073282283,0.015483056279461211
mid_roll2_rel15,fixed_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_fixed_qc__transmural_sparse,194,0.018181818181818132,-0.03747294372294367,0.08199997201074781,0.006195246220178807,-0.02548608568273237,0.05172225729960398
mid_roll2_rel15,shape_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_shape_qc__transmural_sparse,194,-0.016091954022988464,-0.08580505751558389,0.05493430153713028,-0.008406138107200256,-0.04794209184956602,0.023027187044087304
mid_roll2_rel15,remove_apex__variability_sparse,original18__variability_sparse,noapex__variability_sparse,194,-0.031556948798328044,-0.08738603549863873,0.031221719457013575,0.017149593327688895,-0.018441829485670656,0.09856468001374698
mid_roll2_rel15,fixed_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_fixed_qc__variability_sparse,194,0.030512016718913237,-0.01948835784313724,0.08126186306632016,0.005484848185439428,-0.039369634221694046,0.047243321410487614
mid_roll2_rel15,shape_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_shape_qc__variability_sparse,194,0.05099268547544411,-0.010136140093874223,0.11550548528652559,0.0281596706638223,-0.01505763991685226,0.0734800950378887
