policy,feature_set,feature
noapex_fixed_qc,clinical_plus_variability,d_var_mid_curve_dispersion_rms
noapex_fixed_qc,clinical_plus_variability,cur_var_mid_curve_pairwise_rmse
noapex_fixed_qc,clinical_plus_variability,d_var_mid_curve_pairwise_rmse
noapex_fixed_qc,clinical_plus_variability,cur_var_mid_shape_dispersion_rms
noapex_fixed_qc,clinical_plus_variability,d_var_mid_shape_dispersion_rms
noapex_fixed_qc,clinical_plus_variability,cur_var_mid_shape_pairwise_rmse
noapex_fixed_qc,clinical_plus_variability,d_var_mid_shape_pairwise_rmse
noapex_fixed_qc,clinical_plus_variability,cur_var_mid_shape_incoherence
noapex_fixed_qc,clinical_plus_variability,d_var_mid_shape_incoherence
noapex_fixed_qc,clinical_plus_variability,cur_var_mid_roughness_median
noapex_fixed_qc,clinical_plus_variability,d_var_mid_roughness_median
noapex_fixed_qc,clinical_plus_variability,cur_var_mid_roughness_p90
noapex_fixed_qc,clinical_plus_variability,d_var_mid_roughness_p90
noapex_fixed_qc,clinical_plus_variability,cur_var_mid_impaired_fraction_lt15
noapex_fixed_qc,clinical_plus_variability,d_var_mid_impaired_fraction_lt15
noapex_fixed_qc,clinical_plus_variability,cur_var_mid_mid_basal_peak_gradient
noapex_fixed_qc,clinical_plus_variability,d_var_mid_mid_basal_peak_gradient
noapex_fixed_qc,clinical_plus_variability,cur_var_mid_within_view_peak_robust_sd_mean
noapex_fixed_qc,clinical_plus_variability,d_var_mid_within_view_peak_robust_sd_mean
noapex_fixed_qc,clinical_plus_variability,cur_var_mid_spatial_peak_graph_roughness
noapex_fixed_qc,clinical_plus_variability,d_var_mid_spatial_peak_graph_roughness
noapex_fixed_qc,clinical_plus_variability,cur_var_mid_spatial_timing_graph_roughness
noapex_fixed_qc,clinical_plus_variability,d_var_mid_spatial_timing_graph_roughness
noapex_fixed_qc,clinical_plus_variability,cur_q_paired_fraction
noapex_fixed_qc,clinical_plus_variability,d_q_paired_fraction
