task,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
mid_first_rel20,clinical_plus_transmural_sparse,clinical_ridge,262,-0.025011099600414477,-0.11219747122795891,0.048304514394307,-0.06836076810528285,-0.19759160503979695,0.06074760221016922,-0.015955967828104684,-0.03221478541430012,0.0034368399551470974
mid_first_rel20,clinical_plus_variability_sparse,clinical_ridge,262,-0.0695574959301466,-0.1326131087239802,-0.02104740309767275,-0.059984848072556746,-0.12579432812846264,-0.015495603910982423,0.013273362921859988,0.005578989883781214,0.021183835254684973
mid_first_rel20,combined_extra_trees,clinical_ridge,262,-0.11883972177001623,-0.20569828561956133,-0.03526258324210911,-0.14972743633856483,-0.29325793465151284,-0.040022966372244465,-0.08850659978120985,-0.11365307929184376,-0.06056700109953061
mid_first_rel20,gpu_segment_curve_net,clinical_ridge,262,-0.11047802279117958,-0.22277682510494212,-0.002526098995597267,-0.1389027841885085,-0.27811529175059485,-0.023583596283455653,0.029660134718871883,0.008744870292354196,0.049518027252076026
mid_roll2_rel10,clinical_plus_transmural_sparse,clinical_ridge,194,-0.027286439051144917,-0.10724441812757272,0.05699215764332762,-0.05225976807037469,-0.165689384538115,0.044859590471827825,-0.006689214626615841,-0.02620916743682781,0.010485330932327699
mid_roll2_rel10,clinical_plus_variability_sparse,clinical_ridge,194,-0.1122994652406416,-0.18486672835605317,-0.04813868613138686,-0.12022194060931107,-0.21198074151364574,-0.052245498031270855,0.014711449024332912,0.0017300869495708567,0.028114720390718516
mid_roll2_rel10,combined_extra_trees,clinical_ridge,194,-0.11271081859317145,-0.1977774234368137,-0.01537465055966432,-0.11315669004670087,-0.21096508980582346,-0.034673751699026756,-0.01797824956240529,-0.04402640795888778,0.007952045236778702
mid_roll2_rel10,gpu_segment_curve_net,clinical_ridge,194,-0.14273961332784857,-0.22006436177222763,-0.0521116202507459,-0.1183178408201806,-0.21981853692465744,-0.01735140317930223,0.023799398289600232,0.004101852205599153,0.04089340254657064
mid_roll2_rel12,clinical_plus_transmural_sparse,clinical_ridge,194,-0.024279448621553956,-0.11124827761556388,0.05559515080518435,-0.023385595718259627,-0.11103808542707924,0.046304210313661304,-0.012618686379798877,-0.02983958673381108,0.006481942188509066
mid_roll2_rel12,clinical_plus_variability_sparse,clinical_ridge,194,-0.05889724310776956,-0.1345537891216829,0.018777322620978257,-0.03509943394610243,-0.11051470443954484,0.018089454164474987,0.0016151809373910753,-0.014088964233330146,0.015507800692712785
mid_roll2_rel12,combined_extra_trees,clinical_ridge,194,-0.043389724310777034,-0.14999945095033831,0.06465416666666664,-0.016100418902179392,-0.10799500938078442,0.055263165324986215,-0.04725363026760257,-0.07301935965875879,-0.020391113579164472
mid_roll2_rel12,gpu_segment_curve_net,clinical_ridge,194,-0.0664160401002507,-0.17536418112942173,0.03790938259356655,-0.03166090613029443,-0.1203776786826131,0.056007109024461064,0.014039672567098288,-0.005840294855925178,0.03354942818207355
mid_roll2_rel15,clinical_plus_transmural_sparse,clinical_ridge,194,0.0,-0.12522415140066517,0.12721967468805712,-0.02258285252575626,-0.14496199775772614,0.05849174082623803,-0.02526778991276124,-0.04651832946512913,-0.001537909515494978
mid_roll2_rel15,clinical_plus_variability_sparse,clinical_ridge,194,-0.07920585161964477,-0.16568193779036,0.002671294334484897,-0.06291945585902942,-0.169115581669169,-0.013149984918840403,-0.005395354087704696,-0.02135101868682261,0.010065091541177653
mid_roll2_rel15,combined_extra_trees,clinical_ridge,194,-0.016509926854754386,-0.1432473904733902,0.11716962440823368,-0.006100684702245951,-0.10662966580549525,0.09029351715697977,-0.0937437604459962,-0.12109266477051904,-0.06635322150906463
mid_roll2_rel15,gpu_segment_curve_net,clinical_ridge,194,-0.0433646812957158,-0.15773682352609528,0.06915352324175535,-0.0456327728867294,-0.15897962500319518,0.033264964221220585,0.005398676907219846,-0.011717035648158316,0.024028102696482343
mid_roll2_rel20,clinical_plus_transmural_sparse,clinical_ridge,194,0.016574585635359074,-0.14390239829993914,0.16920019730424762,-0.029367605289295218,-0.2155487611136429,0.11922082756004694,-0.03730762544829619,-0.060302770716844194,-0.012625247704014242
mid_roll2_rel20,clinical_plus_variability_sparse,clinical_ridge,194,-0.1512962175945602,-0.3113130017841214,0.012755768063145049,-0.06794482344934136,-0.2681022390900749,-0.001784813337756022,0.004103919464567618,-0.014475721824593814,0.024624229938921768
mid_roll2_rel20,combined_extra_trees,clinical_ridge,194,-0.1878453038674034,-0.4081937448484293,0.03524474838034151,-0.07065321095956555,-0.2582874014281204,0.009705587306196356,-0.12067189742346193,-0.14729400455386588,-0.09253546991766837
mid_roll2_rel20,gpu_segment_curve_net,clinical_ridge,194,-0.054823629409264885,-0.20313489882933053,0.07466064964755181,-0.05329004824097315,-0.22043412835130982,0.004079221489214447,0.019631379718608344,0.0008737608975942751,0.03689030112644432
mid_roll3_rel10,clinical_plus_transmural_sparse,clinical_ridge,93,-0.07254623044096731,-0.23217639990386923,0.07604805048428252,-0.0648647287755883,-0.21812770300310264,0.02436604595036658,0.000339476884961748,-0.02627597888365227,0.02851200769341554
mid_roll3_rel10,clinical_plus_variability_sparse,clinical_ridge,93,-0.2738264580369844,-0.41527990161213846,-0.14527243589743585,-0.1170889785638185,-0.24146308563181515,-0.04535800678983239,0.024455374555340637,6.375279778046015e-05,0.047882554122145954
mid_roll3_rel10,combined_extra_trees,clinical_ridge,93,-0.1593172119487909,-0.3368131558843633,0.02167708333333322,-0.08735652431643029,-0.2466356852597234,0.03140988067079505,-0.04625973153858692,-0.08646858790747396,-0.004478813479758026
mid_roll3_rel10,gpu_segment_curve_net,clinical_ridge,93,-0.1344238975817923,-0.31067389362198006,0.0339172694394214,0.0236483447057228,-0.1719989772546922,0.1912606484314147,0.013216674037434512,-0.009782779784674192,0.03605213914426094
mid_roll3_rel12,clinical_plus_transmural_sparse,clinical_ridge,93,0.042495479204339937,-0.07404508513931896,0.17279127481713671,-0.07327557291435016,-0.2696021728865377,0.0685915805653071,-0.007793503317032019,-0.03267716408402511,0.014348646520416715
mid_roll3_rel12,clinical_plus_variability_sparse,clinical_ridge,93,-0.06329113924050633,-0.20331450534759363,0.07681404607431574,-0.11613109578178735,-0.32367692751128496,0.0061542124355365106,0.024172378761691676,0.0008441704134850959,0.04580774579236722
mid_roll3_rel12,combined_extra_trees,clinical_ridge,93,-0.1835443037974684,-0.3889870931537599,0.010710808179162593,-0.17151311947874068,-0.3955711727947514,-0.013792044169873325,-0.0670972974134422,-0.11196040775949921,-0.021576737136025568
mid_roll3_rel12,gpu_segment_curve_net,clinical_ridge,93,-0.08544303797468356,-0.2797637419165197,0.10467983085403604,0.0004345576626483827,-0.3091573500638501,0.259751660520409,-0.0026685798117010995,-0.029362937775603528,0.025571469385083256
mid_roll3_rel15,clinical_plus_transmural_sparse,clinical_ridge,93,-0.14417989417989419,-0.37017203610680965,0.04791293476638309,-0.09227063302718974,-0.33973559255024977,0.007485965204688564,0.027368403010430198,0.0031563386574912375,0.05231931730826246
mid_roll3_rel15,clinical_plus_variability_sparse,clinical_ridge,93,-0.2129629629629629,-0.44832783076546834,0.017868031358885053,-0.0979739729121805,-0.2756977189014086,-0.0033030879956156313,0.044740357339992765,0.01886111006446559,0.067106435835535
mid_roll3_rel15,combined_extra_trees,clinical_ridge,93,-0.28174603174603163,-0.49231398809523813,-0.027366071428571347,-0.10839196493103269,-0.3477870053014411,0.06535733642501562,-0.08768382271571731,-0.13541716530616285,-0.03452263173469294
mid_roll3_rel15,gpu_segment_curve_net,clinical_ridge,93,-0.10780423280423279,-0.3189635854341736,0.13639976449808647,0.07980747002791899,-0.21875323519990095,0.4177765720015978,0.009622183588253758,-0.017510301585091637,0.03655342788288114
endo_first_rel15,clinical_plus_transmural_sparse,clinical_ridge,245,0.028476251880507286,-0.04105158558170625,0.09917411287644139,0.022277531018892738,-0.07828907641074874,0.13582741510417884,-0.009686690010752813,-0.027733184746030225,0.008094311370000168
endo_first_rel15,clinical_plus_variability_sparse,clinical_ridge,245,0.009993552546744056,-0.044758519129649066,0.06867222319358596,-0.010127479977956266,-0.06266497812114047,0.053595523931290495,0.0029855687362962124,-0.007765482787908483,0.013864085052587087
endo_first_rel15,combined_extra_trees,clinical_ridge,245,0.005265420159037193,-0.0739387397779452,0.07587170474613984,-0.045340101856260584,-0.14763262721446568,0.0642230191466804,-0.06634897380569021,-0.08986656893633721,-0.041512357899003635
endo_first_rel15,gpu_segment_curve_net,clinical_ridge,245,-0.03298946915968182,-0.11197566876657421,0.04996420969399905,-0.0781916887030929,-0.17668068639004067,0.019178186982417557,0.004940951925973963,-0.015721788071412487,0.02419332585430868
