task,model,n,events,prevalence,roc_auc,average_precision,brier_score,sensitivity_top20pct,precision_top20pct,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_score_ci_low,brier_score_ci_high
endo_roll2_rel15,combined_extra_trees,194,24,0.12371134020618557,0.591421568627451,0.19267141826320894,0.11985847143334104,0.3333333333333333,0.20512820512820512,0.44728835978835974,0.7312762835026374,0.11065883571234329,0.34537507327883077,0.0946764512777141,0.1441523385457041
endo_roll3_rel15,clinical_ridge,93,9,0.0967741935483871,0.7275132275132274,0.21053643540031924,0.1963767601209702,0.4444444444444444,0.21052631578947367,0.5672212855507833,0.8613896229739253,0.10330951452806782,0.45853241221551533,0.1639317318372213,0.23158495835506243
endo_roll3_rel15,clinical_plus_transmural_sparse,93,9,0.0967741935483871,0.5833333333333333,0.1182658023731295,0.22374697651079256,0.1111111111111111,0.05263157894736842,0.43728915662650597,0.7277166017009213,0.06238057870257237,0.22530837489836783,0.20146373511834112,0.24813032670969043
endo_roll3_rel15,clinical_plus_variability_sparse,93,9,0.0967741935483871,0.5158730158730158,0.1127226226482989,0.24111742019011922,0.2222222222222222,0.10526315789473684,0.3076923076923077,0.7150408530674421,0.0542729527454615,0.2612722902286162,0.21904529386987293,0.2636014686842865
endo_roll3_rel15,combined_extra_trees,93,9,0.0967741935483871,0.45370370370370366,0.10856910427638,0.1065477036588012,0.2222222222222222,0.10526315789473684,0.23291248206599718,0.6706461560527825,0.04158641166760779,0.2963792187338122,0.06651724484058409,0.14837149948578254
ef_first_rel10,clinical_ridge,231,41,0.1774891774891775,0.6492939666238768,0.3165916137648648,0.2277589795663348,0.3170731707317073,0.2765957446808511,0.5639074942364495,0.7276953941799142,0.2159071558135882,0.46386304513319326,0.21197919844557608,0.24263992969024836
ef_first_rel10,clinical_plus_transmural_sparse,231,41,0.1774891774891775,0.5247753530166881,0.21206419915699914,0.23990947135199564,0.1951219512195122,0.1702127659574468,0.43322573607092,0.61728171378817,0.14045948500210967,0.31649242766840835,0.2223660793282981,0.25873706174450317
ef_first_rel10,clinical_plus_variability_sparse,231,41,0.1774891774891775,0.5421052631578948,0.24235969506937446,0.24472919109475844,0.24390243902439024,0.2127659574468085,0.45288628256616403,0.6290589724531982,0.15372669228731387,0.35730189386405947,0.23519754884741353,0.2552256502630827
ef_first_rel10,combined_extra_trees,231,41,0.1774891774891775,0.5305519897304236,0.20107096445340775,0.16657688944963134,0.24390243902439024,0.2127659574468085,0.4330217354830418,0.6285990712074304,0.14225243043924782,0.31596665747244296,0.1426169035340715,0.1928940209263119
ef_first_rel15,clinical_ridge,254,23,0.09055118110236221,0.6213062300018821,0.15077882605921447,0.22366263685432247,0.34782608695652173,0.1568627450980392,0.4820339815448373,0.742374815295596,0.0859500077109365,0.3006936787532166,0.20480082419668202,0.24432446245746814
