outcome,model,feature_set,n_features,n,events,prevalence,roc_auc,average_precision,brier_score,sensitivity_top20pct,precision_top20pct,alerts_top20pct,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_score_ci_low,brier_score_ci_high,sensitivity_top20pct_ci_low,sensitivity_top20pct_ci_high,precision_top20pct_ci_low,precision_top20pct_ci_high
mid_gls_relative_drop_15,variability_only_sparse,variability,108,101,30,0.297029702970297,0.6525821596244131,0.4493058581595986,0.19803634415117696,0.3333333333333333,0.47619047619047616,21,0.530673747156798,0.7668646010186756,0.30473487593325915,0.6253302769656639,0.16724995296878287,0.2315777390213618,0.2,0.4737468671679197,0.23809523809523808,0.6666666666666666
mid_gls_relative_drop_15,clinical_plus_transmural,clinical_plus_transmural,257,101,30,0.297029702970297,0.5544600938967137,0.3703559201919128,0.21371608144838275,0.23333333333333334,0.3333333333333333,21,0.43545907365878905,0.6678121478977644,0.2434308638206581,0.5401692689444013,0.183704350012911,0.24808692017848266,0.1111111111111111,0.38461538461538464,0.14285714285714285,0.5714285714285714
mid_gls_relative_drop_15,clinical_plus_variability,clinical_plus_variability,120,101,30,0.297029702970297,0.5873239436619719,0.36844053413153643,0.21601709155522125,0.23333333333333334,0.3333333333333333,21,0.46854254313761357,0.7121820315834401,0.2561612308888843,0.5505073166696285,0.17511921841078654,0.2609856973083082,0.1111111111111111,0.38472222222222213,0.14285714285714285,0.5714285714285714
mid_gls_relative_drop_15,combined_sparse,combined,365,101,30,0.297029702970297,0.47793427230046953,0.2753154036930775,0.24260524930877406,0.1,0.14285714285714285,21,0.36954475631894984,0.5914654813092314,0.1936836987582251,0.4054103298620116,0.20181069955188377,0.2839965635321119,0.0,0.2426136363636362,0.0,0.38095238095238093
mid_gls_relative_drop_15,combined_extra_trees,combined,365,101,30,0.297029702970297,0.6004694835680751,0.42044905957848955,0.21160761772944103,0.3,0.42857142857142855,21,0.46810745705907,0.7328205128205129,0.2805758370915949,0.6268123618695293,0.17755149124170996,0.24477676264734474,0.14285714285714285,0.457172619047619,0.19047619047619047,0.6666666666666666
mid_gls_relative_drop_20,clinical_ridge,clinical,12,101,11,0.10891089108910891,0.49696969696969695,0.11784617047893549,0.13101486254141165,0.09090909090909091,0.047619047619047616,21,0.3070687114304136,0.6881899641577061,0.06443446336526969,0.23590342940899942,0.10466904248801863,0.1592860785829186,0.0,0.4166666666666667,0.0,0.23809523809523808
mid_gls_relative_drop_20,transmural_only_sparse,transmural,245,101,11,0.10891089108910891,0.2727272727272727,0.07757459799810897,0.11394430160486585,0.0,0.0,21,0.13220638461287051,0.4113377348457993,0.04242861082595979,0.13745546672769568,0.06840579326364712,0.16298383454215545,0.0,0.0,0.0,0.0
mid_gls_relative_drop_20,variability_only_sparse,variability,108,101,11,0.10891089108910891,0.396969696969697,0.09918352389479168,0.12026447176372479,0.09090909090909091,0.047619047619047616,21,0.2036111760579846,0.6083725845410628,0.054979805072043184,0.21329683355228093,0.07772027486408684,0.16764371932517383,0.0,0.375,0.0,0.19047619047619047
mid_gls_relative_drop_20,clinical_plus_transmural,clinical_plus_transmural,257,101,11,0.10891089108910891,0.30101010101010106,0.0801130099743832,0.11442762777424163,0.0,0.0,21,0.16058956500488758,0.45297159954407284,0.04506149000730333,0.1396053568259666,0.06846304112450673,0.1660776362089132,0.0,0.0,0.0,0.0
mid_gls_relative_drop_20,clinical_plus_variability,clinical_plus_variability,120,101,11,0.10891089108910891,0.35757575757575755,0.09045991657157779,0.1222412123378747,0.0,0.0,21,0.17166626286654035,0.5380312605325245,0.049256513402958654,0.1696317350443586,0.07796351156899534,0.1766110671203328,0.0,0.2222222222222222,0.0,0.14285714285714285
mid_gls_relative_drop_20,combined_sparse,combined,365,101,11,0.10891089108910891,0.3787878787878788,0.09089619486520331,0.1143226053651558,0.09090909090909091,0.047619047619047616,21,0.21372611084567605,0.5535535588442565,0.0502863360259152,0.16404929348742595,0.07145389263827909,0.1620222643290082,0.0,0.2727272727272727,0.0,0.14285714285714285
