outcome,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
mid_gls_relative_drop_15,combined_sparse,clinical_ridge,101,-0.13708920187793422,-0.27197979229229235,-0.015166340508806272,-0.09143874899350768,-0.21813166019172006,-0.009041192513326975,0.03419538857469184,0.008173668219865902,0.06252581806324986
mid_gls_relative_drop_15,combined_extra_trees,clinical_ridge,101,-0.014553990610328693,-0.12951291079812194,0.09489436619718307,0.05369490689190437,-0.07618822269935295,0.20274702102802036,0.003197756995358819,-0.017505935220669837,0.023663214576947273
mid_gls_relative_drop_20,transmural_only_sparse,clinical_ridge,101,-0.22424242424242424,-0.4626275510204082,0.00336725774225772,-0.04027157248082652,-0.13139490649945185,0.001602967208073539,-0.017070560936545798,-0.037531224701691304,0.007097935388386357
mid_gls_relative_drop_20,variability_only_sparse,clinical_ridge,101,-0.09999999999999998,-0.2681935527019797,0.07824919441460791,-0.018662646584143808,-0.08398679356719956,0.048224243424079036,-0.010750390777686858,-0.030719196105077267,0.009049184168684863
mid_gls_relative_drop_20,clinical_plus_transmural,clinical_ridge,101,-0.1959595959595959,-0.38549608993157386,-0.005000230266187683,-0.03773316050455229,-0.11640015477312689,-0.0005770541275880694,-0.016587234767170014,-0.038013146606670094,0.006121404060369241
mid_gls_relative_drop_20,clinical_plus_variability,clinical_ridge,101,-0.1393939393939394,-0.31554923122412765,0.014542522694696677,-0.027386253907357702,-0.11113878997057584,0.00994236983292206,-0.008773650203536945,-0.03215212200094166,0.014846823294681682
mid_gls_relative_drop_20,combined_sparse,clinical_ridge,101,-0.11818181818181817,-0.346470495755162,0.1497864225781846,-0.026949975613732177,-0.0985126961590767,0.02079638282774224,-0.016692257176255845,-0.038089249282009914,0.007313843951446933
mid_gls_relative_drop_20,combined_extra_trees,clinical_ridge,101,-0.00303030303030305,-0.20112373737373743,0.21668478260869564,-0.004497102895454533,-0.06333439375678715,0.05154735410772049,-0.020305024953764794,-0.035937897887154374,-0.004841434811508403
mid_gls_absolute_drop_2p9,transmural_only_sparse,clinical_ridge,101,0.003913894324853229,-0.12253593355001811,0.1377940221977024,0.0377670951863579,-0.13040437911625868,0.1978577183224573,-0.0074683603075562655,-0.03169067379154435,0.01629472740285816
mid_gls_absolute_drop_2p9,variability_only_sparse,clinical_ridge,101,0.047945205479452024,-0.07711621741945933,0.16514272030651342,0.10392305102230243,-0.06961227633219252,0.25194184761260086,-0.015528771481929105,-0.03562302542572563,0.0048104338303244995
mid_gls_absolute_drop_2p9,clinical_plus_transmural,clinical_ridge,101,-0.02690802348336596,-0.15465562545303915,0.09818362193362185,-0.006993849075632053,-0.1180971794783903,0.10995738913982692,0.00014470485485260087,-0.02139883076605387,0.021553076962385433
mid_gls_absolute_drop_2p9,clinical_plus_variability,clinical_ridge,101,0.022015655577299342,-0.07518954157970176,0.12646932970877692,0.056082972122024566,-0.08853700304310205,0.17612323864303736,-0.009916030246254093,-0.028118302751979646,0.007986474014368049
mid_gls_absolute_drop_2p9,combined_sparse,clinical_ridge,101,0.008806262230919737,-0.09896216347319917,0.12865490587183356,-0.020265520494746947,-0.1612851169033574,0.12224826037209785,-0.0042679737103883675,-0.026867503817378485,0.018958902598572268
mid_gls_absolute_drop_2p9,combined_extra_trees,clinical_ridge,101,0.06849315068493134,-0.012569207108680777,0.1571166157427614,0.14183391823267283,-0.0069678694212137755,0.2504193524421545,-0.019234508016572505,-0.03929400631358529,-2.5532768649615523e-05
endo_gls_relative_drop_10,transmural_only_sparse,clinical_ridge,101,-0.16507936507936505,-0.2853316326530613,-0.04675224646983326,-0.17897320748039197,-0.29136485252080546,-0.06259450042825657,0.03820657503381622,0.009716243216789069,0.06891177179061839
endo_gls_relative_drop_10,variability_only_sparse,clinical_ridge,101,-0.05476190476190479,-0.14971640363462463,0.03743563685636849,-0.11407819191802082,-0.20802035889418136,0.013410558628779925,0.010433871953091506,-0.016259021173290186,0.036689466331379476
endo_gls_relative_drop_10,clinical_plus_transmural,clinical_ridge,101,-0.1424603174603175,-0.24075670498084287,-0.042373181329948315,-0.1605719624247064,-0.2684638518431688,-0.042902588659828496,0.039567566791855,0.01257063723196871,0.06890571388884627
endo_gls_relative_drop_10,clinical_plus_variability,clinical_ridge,101,-0.012698412698412653,-0.08983292757482392,0.05383009663195419,-0.04618411202686068,-0.13383665109457896,0.04576643745881582,-0.0006807866088523462,-0.019168825327926284,0.02092195942623573
endo_gls_relative_drop_10,combined_sparse,clinical_ridge,101,-0.1511904761904762,-0.251017996036015,-0.056525455559746585,-0.1418202655684493,-0.2445891698834626,-0.034721471403484035,0.045757983407307995,0.01539239031182728,0.07867892832467559
endo_gls_relative_drop_10,combined_extra_trees,clinical_ridge,101,-0.036904761904761885,-0.11467630538400388,0.032164889853294916,-0.02736998283942782,-0.10923678502532155,0.06116662383648438,0.002282913032610745,-0.015074342761365551,0.02003388203465506
endo_gls_relative_drop_15,transmural_only_sparse,clinical_ridge,101,-0.012720156555772966,-0.1563511460922397,0.1382829152682094,-0.04730035264111848,-0.18876891444803154,0.07486920947548727,-0.0021111218888506533,-0.02341247972008777,0.019612751178177047
