model,repeat,fold,train_n,test_n,pca_components,seconds,best_epoch,best_val_loss,parameters,features
mantis_v2_adapter_curves_scalars,1,4,,,,1.4683177471160889,2.0,1.0356329679489136,25513.0,
mantis_v2_adapter_curves,2,0,,,,2.1094348430633545,16.0,1.0318800210952759,17241.0,
mantis_v2_adapter_curves_scalars,2,0,,,,2.4900035858154297,16.0,1.0355918407440186,25513.0,
mantis_v2_adapter_curves,2,1,,,,1.6727280616760254,2.0,1.128920078277588,17241.0,
mantis_v2_adapter_curves_scalars,2,1,,,,2.0560994148254395,5.0,1.1306302547454834,25513.0,
mantis_v2_adapter_curves,2,2,,,,3.6191165447235107,33.0,0.9529160261154175,17241.0,
mantis_v2_adapter_curves_scalars,2,2,,,,3.1734867095947266,22.0,0.9545481204986572,25513.0,
mantis_v2_adapter_curves,2,3,,,,3.938559055328369,37.0,1.0562623739242554,17241.0,
mantis_v2_adapter_curves_scalars,2,3,,,,3.8753390312194824,30.0,1.0478075742721558,25513.0,
mantis_v2_adapter_curves,2,4,,,,2.867570638656616,19.0,1.0789947509765625,17241.0,
mantis_v2_adapter_curves_scalars,2,4,,,,3.2962279319763184,23.0,0.9846763014793396,25513.0,
multirocket_whole_curves,0,0,188.0,50.0,,2.042740821838379,,,,49728.0
multirocket_whole_curves_scalars,0,0,188.0,50.0,,2.6689629554748535,,,,49824.0
multirocket_segment_curves,0,0,188.0,50.0,,9.934385299682617,,,,149184.0
multirocket_segment_curves_scalars,0,0,188.0,50.0,,11.78064250946045,,,,149280.0
multirocket_whole_curves,0,1,186.0,52.0,,1.2384295463562012,,,,49728.0
multirocket_whole_curves_scalars,0,1,186.0,52.0,,1.8546926975250244,,,,49824.0
multirocket_segment_curves,0,1,186.0,52.0,,10.448684215545654,,,,149184.0
multirocket_segment_curves_scalars,0,1,186.0,52.0,,12.275505065917969,,,,149280.0
multirocket_whole_curves,0,2,195.0,43.0,,1.26615571975708,,,,49728.0
multirocket_whole_curves_scalars,0,2,195.0,43.0,,1.892209529876709,,,,49824.0
multirocket_segment_curves,0,2,195.0,43.0,,10.025155544281006,,,,149184.0
multirocket_segment_curves_scalars,0,2,195.0,43.0,,11.968083381652832,,,,149280.0
multirocket_whole_curves,0,3,195.0,43.0,,1.2853689193725586,,,,49728.0
multirocket_whole_curves_scalars,0,3,195.0,43.0,,1.917452335357666,,,,49824.0
multirocket_segment_curves,0,3,195.0,43.0,,9.345131158828735,,,,149184.0
multirocket_segment_curves_scalars,0,3,195.0,43.0,,11.24858808517456,,,,149280.0
multirocket_whole_curves,0,4,188.0,50.0,,1.2178425788879395,,,,49728.0
multirocket_whole_curves_scalars,0,4,188.0,50.0,,1.8244118690490723,,,,49824.0
multirocket_segment_curves,0,4,188.0,50.0,,9.165542840957642,,,,149184.0
multirocket_segment_curves_scalars,0,4,188.0,50.0,,11.019250392913818,,,,149280.0
multirocket_whole_curves,1,0,189.0,49.0,,1.20576810836792,,,,49728.0
multirocket_whole_curves_scalars,1,0,189.0,49.0,,1.8300178050994873,,,,49824.0
multirocket_segment_curves,1,0,189.0,49.0,,9.897760152816772,,,,149184.0
multirocket_segment_curves_scalars,1,0,189.0,49.0,,11.745717525482178,,,,149280.0
multirocket_whole_curves,1,1,188.0,50.0,,1.2858617305755615,,,,49728.0
multirocket_whole_curves_scalars,1,1,188.0,50.0,,1.8988316059112549,,,,49824.0
multirocket_segment_curves,1,1,188.0,50.0,,10.247190475463867,,,,149184.0
multirocket_segment_curves_scalars,1,1,188.0,50.0,,12.09381628036499,,,,149280.0
multirocket_whole_curves,1,2,194.0,44.0,,1.231302261352539,,,,49728.0
multirocket_whole_curves_scalars,1,2,194.0,44.0,,1.8716015815734863,,,,49824.0
multirocket_segment_curves,1,2,194.0,44.0,,9.714016199111938,,,,149184.0
multirocket_segment_curves_scalars,1,2,194.0,44.0,,11.635783910751343,,,,149280.0
multirocket_whole_curves,1,3,192.0,46.0,,1.2157630920410156,,,,49728.0
multirocket_whole_curves_scalars,1,3,192.0,46.0,,1.843580961227417,,,,49824.0
multirocket_segment_curves,1,3,192.0,46.0,,9.595041513442993,,,,149184.0
multirocket_segment_curves_scalars,1,3,192.0,46.0,,11.46859073638916,,,,149280.0
multirocket_whole_curves,1,4,189.0,49.0,,1.2027781009674072,,,,49728.0
multirocket_whole_curves_scalars,1,4,189.0,49.0,,1.7967469692230225,,,,49824.0
multirocket_segment_curves,1,4,189.0,49.0,,9.15656590461731,,,,149184.0
multirocket_segment_curves_scalars,1,4,189.0,49.0,,10.999829530715942,,,,149280.0
multirocket_whole_curves,2,0,187.0,51.0,,1.125239372253418,,,,49728.0
multirocket_whole_curves_scalars,2,0,187.0,51.0,,1.7187318801879883,,,,49824.0
multirocket_segment_curves,2,0,187.0,51.0,,9.338607549667358,,,,149184.0
multirocket_segment_curves_scalars,2,0,187.0,51.0,,11.191895484924316,,,,149280.0
multirocket_whole_curves,2,1,195.0,43.0,,1.235365629196167,,,,49728.0
multirocket_whole_curves_scalars,2,1,195.0,43.0,,1.8582990169525146,,,,49824.0
multirocket_segment_curves,2,1,195.0,43.0,,9.34618091583252,,,,149184.0
multirocket_segment_curves_scalars,2,1,195.0,43.0,,11.275753736495972,,,,149280.0
multirocket_whole_curves,2,2,189.0,49.0,,1.2813076972961426,,,,49728.0
multirocket_whole_curves_scalars,2,2,189.0,49.0,,1.9459950923919678,,,,49824.0
multirocket_segment_curves,2,2,189.0,49.0,,9.129262924194336,,,,149184.0
multirocket_segment_curves_scalars,2,2,189.0,49.0,,10.988778829574585,,,,149280.0
multirocket_whole_curves,2,3,187.0,51.0,,1.2163066864013672,,,,49728.0
multirocket_whole_curves_scalars,2,3,187.0,51.0,,1.7954909801483154,,,,49824.0
multirocket_segment_curves,2,3,187.0,51.0,,9.28900933265686,,,,149184.0
multirocket_segment_curves_scalars,2,3,187.0,51.0,,11.124594926834106,,,,149280.0
multirocket_whole_curves,2,4,194.0,44.0,,1.1786777973175049,,,,49728.0
multirocket_whole_curves_scalars,2,4,194.0,44.0,,1.7815582752227783,,,,49824.0
multirocket_segment_curves,2,4,194.0,44.0,,9.426886558532715,,,,149184.0
multirocket_segment_curves_scalars,2,4,194.0,44.0,,11.345464706420898,,,,149280.0
