model,repeat,fold,channel_index,channel,weight
mantis_v2_adapter_curves,1,4,1,current_endo,0.16734720766544342
mantis_v2_adapter_curves,1,4,2,current_mid,0.16670165956020355
mantis_v2_adapter_curves,1,4,3,current_endo_minus_mid,0.16584531962871552
mantis_v2_adapter_curves,1,4,4,change_endo,0.1672915518283844
mantis_v2_adapter_curves,1,4,5,change_mid,0.16590145230293274
mantis_v2_adapter_curves,1,4,6,change_endo_minus_mid,0.16691283881664276
mantis_v2_adapter_curves_scalars,1,4,1,current_endo,0.16719737648963928
mantis_v2_adapter_curves_scalars,1,4,2,current_mid,0.1669992208480835
mantis_v2_adapter_curves_scalars,1,4,3,current_endo_minus_mid,0.16717131435871124
mantis_v2_adapter_curves_scalars,1,4,4,change_endo,0.16596995294094086
mantis_v2_adapter_curves_scalars,1,4,5,change_mid,0.16598853468894958
mantis_v2_adapter_curves_scalars,1,4,6,change_endo_minus_mid,0.1666736602783203
mantis_v2_adapter_curves,2,0,1,current_endo,0.16192935407161713
mantis_v2_adapter_curves,2,0,2,current_mid,0.16125842928886414
mantis_v2_adapter_curves,2,0,3,current_endo_minus_mid,0.16354577243328094
mantis_v2_adapter_curves,2,0,4,change_endo,0.17306475341320038
mantis_v2_adapter_curves,2,0,5,change_mid,0.17175588011741638
mantis_v2_adapter_curves,2,0,6,change_endo_minus_mid,0.16844582557678223
mantis_v2_adapter_curves_scalars,2,0,1,current_endo,0.16454507410526276
mantis_v2_adapter_curves_scalars,2,0,2,current_mid,0.16335700452327728
mantis_v2_adapter_curves_scalars,2,0,3,current_endo_minus_mid,0.16200894117355347
mantis_v2_adapter_curves_scalars,2,0,4,change_endo,0.17207738757133484
mantis_v2_adapter_curves_scalars,2,0,5,change_mid,0.17107731103897095
mantis_v2_adapter_curves_scalars,2,0,6,change_endo_minus_mid,0.1669342964887619
mantis_v2_adapter_curves,2,1,1,current_endo,0.16726046800613403
mantis_v2_adapter_curves,2,1,2,current_mid,0.16679801046848297
mantis_v2_adapter_curves,2,1,3,current_endo_minus_mid,0.1667380928993225
mantis_v2_adapter_curves,2,1,4,change_endo,0.1658521592617035
mantis_v2_adapter_curves,2,1,5,change_mid,0.1658257395029068
mantis_v2_adapter_curves,2,1,6,change_endo_minus_mid,0.16752555966377258
mantis_v2_adapter_curves_scalars,2,1,1,current_endo,0.1663855016231537
mantis_v2_adapter_curves_scalars,2,1,2,current_mid,0.1659398376941681
mantis_v2_adapter_curves_scalars,2,1,3,current_endo_minus_mid,0.16739024221897125
mantis_v2_adapter_curves_scalars,2,1,4,change_endo,0.1670415848493576
