hospital,view,layer,metric,patients_tested,positive_slopes,negative_slopes,zero_slopes,fraction_positive,binomial_p_positive_gt_half,median_slope_per_visit,mean_slope_per_visit
SZMC,4-chamber,endo,recovery_fraction_std,12,5,7,0,0.4166666666666667,0.80615234375,-6.723561176481144e-10,-0.016723219888382202
SZMC,4-chamber,endo,rms_strain_std,12,7,5,0,0.5833333333333334,0.38720703125,0.3787826840813687,0.4059547718309147
SZMC,4-chamber,endo,strain_burden_std,12,7,5,0,0.5833333333333334,0.38720703125,0.19800644046587776,0.3649596442731686
SZMC,4-chamber,endo,time_to_peak_ms_std,12,4,8,0,0.3333333333333333,0.927001953125,-119.8173640547425,-163.75289856800043
SZMC,4-chamber,endo,time_to_peak_norm_std,12,3,9,0,0.25,0.980712890625,-0.058868154729575226,-0.044233852071449
SZMC,4-chamber,myo,contraction_rate_per_s_std,12,6,6,0,0.5,0.61279296875,-0.2972568914840666,1.7535874744814313
SZMC,4-chamber,myo,curve_roughness_std,12,7,5,0,0.5833333333333334,0.38720703125,0.011583932181175127,0.03517373580483564
SZMC,4-chamber,myo,peak_abs_iqr,12,10,2,0,0.8333333333333334,0.019287109375,0.7567375000000017,0.5264354166666673
SZMC,4-chamber,myo,peak_abs_std,12,10,2,0,0.8333333333333334,0.019287109375,0.34637185119314673,0.5668924633234146
SZMC,4-chamber,myo,recovery_fraction_std,12,7,5,0,0.5833333333333334,0.38720703125,3.2112315002238276e-09,-0.010223629590387496
SZMC,4-chamber,myo,rms_strain_std,12,10,2,0,0.8333333333333334,0.019287109375,0.3013628055067944,0.3153337788357417
SZMC,4-chamber,myo,strain_burden_std,12,8,4,0,0.6666666666666666,0.19384765625,0.19230278375065174,0.25668719580715055
SZMC,4-chamber,myo,time_to_peak_ms_std,12,4,8,0,0.3333333333333333,0.927001953125,-114.65939157601883,-155.76238206738626
SZMC,4-chamber,myo,time_to_peak_norm_std,12,4,8,0,0.3333333333333333,0.927001953125,-0.029560788086787193,-0.0462549516629748
