outcome,feature,n_patients,spearman_rho,bootstrap_ci_low,bootstrap_ci_high,permutation_p,fdr_q
gls_worsening_pp,endo_spatial_timing_graph_roughness,103,-0.162210842800083,-0.34687278927463777,0.029416821670935622,0.10417916416716656,0.2623475304939012
gls_worsening_pp,mid_peak_abs_robust_sd,103,-0.11272621437106092,-0.304304277424121,0.09146487627310665,0.2549490101979604,0.38992201559688067
gls_worsening_pp,mid_time_to_peak_norm_circular_std,103,-0.18446753889232498,-0.3726280033087951,0.006149001974168992,0.059988002399520096,0.23995200959808038
ef_worsening_pp,endo_peak_abs_robust_sd,97,-0.17415774664209926,-0.36294256303956346,0.034631894236682975,0.08818236352729454,0.5038992201559688
ef_worsening_pp,endo_vendor_peak_systolic_abs_robust_sd,97,-0.037489973305981826,-0.24561083351224877,0.16752623024102492,0.7184563087382524,0.9075237584062135
ef_worsening_pp,endo_peak_abs_std,97,-0.011867582761031024,-0.218699605027897,0.19472157595793058,0.9120175964807039,0.9516705354581257
ef_worsening_pp,endo_peak_abs_cv,97,-0.18492389625305186,-0.3808736555110385,0.032546931837320166,0.07138572285542892,0.5038992201559688
ef_worsening_pp,endo_time_to_peak_ms_std,97,-0.09298136033601151,-0.2918327772272694,0.10435261608447322,0.369126174765047,0.6030793841231753
ef_worsening_pp,endo_time_to_peak_norm_std,97,-0.09175844045038725,-0.27936072606466106,0.1000718907209104,0.3755248950209958,0.6030793841231753
ef_worsening_pp,endo_time_to_peak_norm_circular_std,97,-0.08943094776484432,-0.279085084523214,0.10294890826865141,0.3769246150769846,0.6030793841231753
ef_worsening_pp,endo_vendor_time_to_peak_norm_circular_std,97,-0.10761694993493398,-0.29193093186133484,0.0805387903219746,0.29614077184563087,0.5922815436912617
ef_worsening_pp,endo_time_to_peak_es_ratio_std,97,-0.13037246458087765,-0.309067647979439,0.05688656243090174,0.20675864827034593,0.5475704859028194
ef_worsening_pp,endo_post_systolic_index_std,97,0.0028863539235970187,-0.210671120079912,0.19780318214478843,0.9794041191761648,0.9794041191761648
ef_worsening_pp,endo_post_systolic_fraction,97,-0.01556829546933224,-0.22492453247382274,0.19366200748320156,0.8734253149370126,0.9516705354581257
ef_worsening_pp,endo_curve_dispersion_rms,97,0.11594726980098732,-0.08651396607109695,0.3144929176765244,0.2545490901819636,0.5553798331242842
ef_worsening_pp,endo_curve_integrated_robust_mad,97,0.018008481541531292,-0.19013107695196282,0.22923769110681072,0.8630273945210958,0.9516705354581257
ef_worsening_pp,endo_shape_dispersion_rms,97,-0.05565600447209287,-0.24774036586824957,0.13175824664058475,0.5986802639472105,0.845195666749003
ef_worsening_pp,endo_shape_incoherence,97,-0.041875143825488424,-0.23025035356344925,0.1534610313285742,0.6814637072585483,0.9075237584062135
ef_worsening_pp,endo_latent_pairwise_mean,97,0.12692724941922656,-0.07840138463545562,0.337509134499223,0.21635672865426914,0.5475704859028194
ef_worsening_pp,endo_apical_basal_peak_gradient,97,0.1532923501791902,-0.05340262852051699,0.34646760788138,0.13557288542291543,0.5038992201559688
ef_worsening_pp,endo_impaired_segment_fraction_lt15,97,-0.25596700166078734,-0.4624584809159492,-0.03723104905832866,0.013197360527894421,0.3167366526694661
ef_worsening_pp,endo_within_view_peak_robust_sd_mean,97,-0.21571386305078497,-0.401636588968788,-0.008549973873819195,0.033393321335732855,0.40071985602879423
ef_worsening_pp,endo_within_ring_peak_robust_sd_mean,97,-0.15786238161228539,-0.3522824720620931,0.05670870040287596,0.12117576484703059,0.5038992201559688
ef_worsening_pp,endo_spatial_peak_graph_roughness,97,-0.02522107893147646,-0.2230005215593444,0.16780997541899415,0.8014397120575885,0.9516705354581257
ef_worsening_pp,endo_spatial_timing_graph_roughness,97,-0.08121897498449653,-0.27066196573034834,0.10692936921670133,0.41671665666866625,0.6250749850029994
ef_worsening_pp,mid_peak_abs_robust_sd,97,-0.14752158219303302,-0.348923187655022,0.06233745845216283,0.14697060587882424,0.5038992201559688
ef_worsening_pp,mid_time_to_peak_norm_circular_std,97,-0.12410006903848232,-0.3098139436759972,0.07071394811083473,0.22815436912617476,0.5475704859028194
