endpoint,baseline_endpoint_control,feature,n_patients,standardized_beta_feature,bootstrap_ci_low,bootstrap_ci_high,permutation_p,loocv_base_rmse,loocv_extended_rmse,loocv_delta_rmse_extended_minus_base,loocv_base_mae,loocv_extended_mae,loocv_delta_mae_extended_minus_base,loocv_extended_prediction_spearman,fdr_q,primary_holm_p
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_within_view_peak_robust_sd_mean,103,0.03602391240481555,-0.11846942214638681,0.180796318091101,0.6640671865626875,2.598931468688067,2.6169522127076887,0.018020744019621837,2.1470280614774766,2.1669727282181297,0.019944666740653094,0.40570120045060326,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_within_ring_peak_robust_sd_mean,103,0.0760514797902696,-0.10458926182527012,0.2195541602955017,0.3729254149170166,2.598931468688067,2.6104860517192163,0.011554583031149424,2.1470280614774766,2.1503556181183243,0.0033275566408477175,0.4030488407838828,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_spatial_peak_graph_roughness,103,0.07594532917341365,-0.10137366988055205,0.2307996929878585,0.3847230553889222,2.598931468688067,2.6100848550871794,0.011153386399112453,2.1470280614774766,2.1601835343207947,0.013155472843318083,0.3999791325981753,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_spatial_timing_graph_roughness,103,0.01917428125630896,-0.16384727711091754,0.1901006597601647,0.827634473105379,2.598931468688067,2.6250702140471653,0.026138745359098436,2.1470280614774766,2.1697338971084745,0.022705835630997928,0.3986392241951115,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,mid_peak_abs_robust_sd,103,0.11446524799221952,-0.05770825397209346,0.28189419136093674,0.17436512697460507,2.598931468688067,2.5995294368959825,0.0005979682079155779,2.1470280614774766,2.1560191633790944,0.008991101901617782,0.4171343532996965,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,mid_time_to_peak_norm_circular_std,103,0.03346010012815054,-0.14375690228677143,0.2022625238061578,0.707258548290342,2.598931468688067,2.6223891898878557,0.02345772119978884,2.1470280614774766,2.1656726301131832,0.018644568635706626,0.4067061317529011,0.8717560835658955,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_peak_abs_robust_sd,97,0.2060366670666193,-0.0105850356917465,0.4113034971557782,0.02539492101579684,5.872349863738136,5.7799135229236756,-0.0924363408144604,4.349219246055533,4.285111092782168,-0.06410815327336472,0.2715417059920544,0.2697060587882424,0.10157968406318736
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_vendor_peak_systolic_abs_robust_sd,97,0.1463272154874019,-0.06656263746189221,0.33597661278711016,0.11737652469506099,5.872349863738136,5.84358685244351,-0.028763011294626217,4.349219246055533,4.341661406753235,-0.007557839302298142,0.20297906894398796,0.39652069586082783,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_peak_abs_std,97,0.09326031224285014,-0.1422317271657216,0.2992607455662996,0.31333733253349333,5.872349863738136,5.915937954412149,0.043588090674012925,4.349219246055533,4.3681391911455405,0.018919945090007495,0.19307733022185639,0.6895851598910987,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_peak_abs_cv,97,0.09609032587107341,-0.15694833156601357,0.3316922483702181,0.3499300139972006,5.872349863738136,5.928089977514522,0.05574011377638577,4.349219246055533,4.382350536072254,0.03313129001672088,0.1860553800523766,0.6895851598910987,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_time_to_peak_ms_std,97,0.1744053824342882,-0.07133717973854978,0.37953551543597847,0.07638472305538892,5.872349863738136,5.856046139546843,-0.016303724191293334,4.349219246055533,4.344799464140152,-0.004419781915380838,0.24882556569659317,0.30553889222155567,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_time_to_peak_norm_std,97,0.07004062878178541,-0.13530632624793165,0.2732603830500802,0.4605078984203159,5.872349863738136,5.938158266001217,0.06580840226308116,4.349219246055533,4.41785658750165,0.06863734144611655,0.1912626689421032,0.7368126374725055,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_time_to_peak_norm_circular_std,97,0.04878610918293215,-0.1409048856649489,0.25413695625989907,0.6212757448510298,5.872349863738136,5.930706510109058,0.05835664637092197,4.349219246055533,4.411137239770302,0.06191799371476936,0.18835658095061436,0.8208540110159788,1.0
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_vendor_time_to_peak_norm_circular_std,97,0.048572776212504,-0.13596233609223823,0.24095949994280466,0.6262747450509898,5.872349863738136,5.928795814024185,0.05644595028604904,4.349219246055533,4.409069521091346,0.05985027503581275,0.18842890440741614,0.8208540110159788,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_time_to_peak_es_ratio_std,97,0.1420548398357021,-0.06700308918214166,0.34094213532611944,0.1321735652869426,5.872349863738136,5.883533080774819,0.011183217036682791,4.349219246055533,4.396342383221638,0.04712313716610517,0.23330889678276148,0.39652069586082783,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_post_systolic_index_std,97,0.013065931610441908,-0.1993001950175434,0.276221869025737,0.9058188362327535,5.872349863738136,5.949621159216513,0.07727129547837741,4.349219246055533,4.395794985937382,0.04657573988184893,0.19205165210721326,0.9452022638950472,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_post_systolic_fraction,97,0.029185328941934763,-0.14719511884760042,0.23641281726296975,0.7524495100979804,5.872349863738136,5.946479959463643,0.07413009572550688,4.349219246055533,4.3980662185989985,0.04884697254346548,0.191860981175645,0.8208540110159788,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_curve_dispersion_rms,97,0.03313127144297073,-0.16313512944723543,0.2250013457827497,0.7266546690661868,5.872349863738136,5.936051254074861,0.06370139033672473,4.349219246055533,4.398354866918182,0.049135620862649,0.19308390508156564,0.8208540110159788,
