variant,segment,segment_name,mean_weight,mean_weight_ci_low,mean_weight_ci_high,event_mean_weight,nonevent_mean_weight,event_minus_nonevent,difference_ci_low,difference_ci_high
attention_gls_aux,4,basal inferior,0.05271706804215742,0.052088223803868954,0.05329721182126923,0.05342130284426974,0.052534488649017184,0.0008868141952525568,-0.0002813502539637374,0.002156031537127919
attention_gls_aux,5,basal inferolateral,0.05763851534001299,0.05703513160331005,0.05822587426824265,0.05790435783818466,0.05756959321085738,0.00033476462732727474,-0.0008181923832821943,0.0014736354448382587
attention_gls_aux,6,basal anterolateral,0.05462314351787921,0.05371522388317928,0.05550438267185769,0.05426019663307942,0.054717240858382865,-0.00045704422530344624,-0.0019476354415746237,0.0011346509224762805
attention_gls_aux,7,mid anterior,0.0504694266729996,0.04977932324277131,0.05120738423531681,0.050939681274550314,0.050347508813338306,0.000592172461212008,-0.0004348597060333959,0.0016003499709734393
attention_gls_aux,8,mid anteroseptal,0.05496876866293221,0.054348700458721505,0.055545349734297596,0.0547141169457614,0.05503478947849501,-0.00032067253273360824,-0.001448198157014389,0.000841020701071774
attention_gls_aux,9,mid inferoseptal,0.06372536981807037,0.06286610910305865,0.06467385915942335,0.06308648198032055,0.06389100740563512,-0.0008045254253145756,-0.0022199728540588945,0.0005923515918764141
attention_gls_aux,10,mid inferior,0.060761445141932206,0.059931327075668325,0.06166222245106477,0.06040487676656165,0.06085388879480605,-0.0004490120282443985,-0.0018249789748240037,0.000992236729650175
attention_gls_aux,11,mid inferolateral,0.04888042369831344,0.048302703057606304,0.049464553616937364,0.04907225893468273,0.0488306886370325,0.00024157029765022736,-0.0006996077702847931,0.001202886386402888
attention_gls_aux,12,mid anterolateral,0.05136969069368531,0.05076147681729942,0.05191279447332938,0.051062367729791974,0.05144936701765767,-0.00038699928786569554,-0.0013022961550876121,0.0004572246402192402
attention_gls_aux,13,apical anterior,0.06163224225201193,0.06061306087362572,0.0626577431421859,0.061683484232750066,0.06161895729404278,6.452693870728776e-05,-0.0013749835170733507,0.0015773466079835657
attention_gls_aux,14,apical anteroseptal,0.0519026308646556,0.05119873335328987,0.0526351675735905,0.051834512628665584,0.05192029114806043,-8.577851939484821e-05,-0.0011996943509578208,0.0011447480341580242
attention_gls_aux,15,apical inferoseptal,0.06078579540283573,0.059964790455002075,0.061647664225499346,0.060978360017951656,0.060735871243361224,0.0002424887745904325,-0.0012777350643980367,0.0016298408677722107
attention_gls_aux,16,apical inferior,0.05905236245370379,0.058290020640140765,0.059902668042773465,0.058896366532157074,0.05909280584077145,-0.00019643930861437675,-0.0014475232965147013,0.0009680080238277576
attention_gls_aux,17,apical inferolateral,0.05497365839862856,0.05426211658927044,0.055721630560971944,0.0551511401525971,0.054927644610562654,0.0002234955420344492,-0.001048087173201564,0.0012551361121614134
attention_gls_aux,18,apical anterolateral,0.06277872496271501,0.0619079188335606,0.06374762836639075,0.06290087950270193,0.06274705526716284,0.00015382423553908509,-0.0014231730119045037,0.00168944507723614
