task,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
mid_first_rel20,uniform_gls_aux,clinical_ridge,262,-0.11647180701494753,-0.23994162869559602,0.000507320332840929,-0.14895432212420423,-0.29694285540282334,-0.04433991937345766,0.03581484196553006,0.015557076316627451,0.05704270887296812
mid_first_rel20,attention_gls_aux,clinical_ridge,262,-0.14473878940358142,-0.26303376906318077,-0.030571620835152,-0.16165774042740053,-0.30749968600969124,-0.04367354417982784,0.03552906287687568,0.014960182731068585,0.055908484614493395
mid_roll2_rel10,uniform_binary,clinical_ridge,194,-0.14273961332784857,-0.22888803961987045,-0.04350991053741154,-0.1183178408201806,-0.23077477931982188,-0.013407864861195006,0.023799398289600232,0.0046188930076246325,0.043191974775429215
mid_roll2_rel10,attention_binary,clinical_ridge,194,-0.12587412587412583,-0.23945177708764667,-0.03076577206224967,-0.1069469431499791,-0.22767831302119781,-0.0059543103292925715,0.021484972680365644,0.0013346694241058773,0.04230748520401294
mid_roll2_rel10,uniform_gls_aux,clinical_ridge,194,-0.1777732071849718,-0.26120799074132434,-0.08408662342137248,-0.14001067842810655,-0.23661655610680532,-0.049293281616153546,0.024014828209617367,0.005715756744480602,0.038470305262455345
mid_roll2_rel10,attention_gls_aux,clinical_ridge,194,-0.11771561771561756,-0.20285635641506497,-0.005581349206349182,-0.10655634528557234,-0.2153113582910713,0.010487995105566809,0.020608588072494466,-9.228276610277586e-05,0.038991592661220265
mid_roll2_rel12,uniform_binary,clinical_ridge,194,-0.0664160401002507,-0.16824333302422634,0.050334790644236155,-0.03166090613029443,-0.12506530528221999,0.05328724040055008,0.014039672567098288,-0.004984698457034954,0.03217129428413883
mid_roll2_rel12,attention_binary,clinical_ridge,194,-0.053571428571428714,-0.17900781943435817,0.0746569259767788,-0.021896254652539665,-0.11003806468740762,0.06787268117633546,0.013275133245634008,-0.00970670130381509,0.03307806183569756
mid_roll2_rel12,uniform_gls_aux,clinical_ridge,194,-0.08881578947368429,-0.19180241281942162,0.013408150245518355,-0.03908401328941233,-0.12526974030638321,0.0505399057712454,0.012346994504320613,-0.0058518850941567955,0.02869395251734903
mid_roll2_rel12,attention_gls_aux,clinical_ridge,194,-0.06524122807017552,-0.16173088121118012,0.03850432316200483,-0.03334052564807133,-0.12630798632965323,0.038998235288187764,0.013774168643691714,-0.003365876082316351,0.030269709646040782
mid_roll2_rel15,uniform_binary,clinical_ridge,194,-0.0433646812957158,-0.15295636293074913,0.07370928894139192,-0.0456327728867294,-0.1627709639864253,0.02984967476217808,0.005398676907219846,-0.01274069022987352,0.0233108213540377
mid_roll2_rel15,attention_binary,clinical_ridge,194,-0.021943573667711602,-0.14072296470108145,0.09941647727272727,-0.03760298604554341,-0.14132052652500357,0.034470450813354266,0.004560925914553621,-0.013219341354876086,0.021617398042498213
mid_roll2_rel15,uniform_gls_aux,clinical_ridge,194,-0.054858934169279006,-0.1687985434965613,0.05530519750365451,-0.03589413794712565,-0.14106323897717793,0.062230866885102945,0.010266914543771183,-0.006880902261735705,0.02780526475154878
mid_roll2_rel15,attention_gls_aux,clinical_ridge,194,-0.036468129571577856,-0.17132336893727368,0.07285913165476107,-0.04315107533548168,-0.15808645051748435,0.019652911907103745,0.00721204262664632,-0.01047272837333353,0.02540103489546226
mid_roll2_rel20,uniform_binary,clinical_ridge,194,-0.054823629409264885,-0.19438139544696925,0.07729528902615719,-0.05329004824097315,-0.20125058440256438,0.004565391807469968,0.019631379718608344,0.0011794453366293168,0.03753347860596304
mid_roll2_rel20,attention_binary,clinical_ridge,194,-0.07437314067148326,-0.22507884851634855,0.07619959677419352,-0.05568910040632909,-0.21198749293714736,0.0024573530527460833,0.02367133875532354,0.0061692336934548765,0.03860762276614577
mid_roll2_rel20,uniform_gls_aux,clinical_ridge,194,-0.07182320441988954,-0.2285277562111801,0.10003372737711931,-0.05816809204075778,-0.22919612264888714,0.006401196707605599,0.024538343407855656,0.006921973539494933,0.04069311980454799
mid_roll2_rel20,attention_gls_aux,clinical_ridge,194,-0.1160220994475139,-0.2714919754383858,0.06004357364319019,-0.061062531527785985,-0.2326703513945434,0.002764723523125539,0.028654805504168268,0.011624484389644245,0.04536906128035019
mid_roll3_rel10,uniform_binary,clinical_ridge,93,-0.1344238975817923,-0.2799421411921411,0.01975327995369471,0.0236483447057228,-0.15772663575696613,0.17570313586268826,0.013216674037434512,-0.007720350595090349,0.03475525966059542
mid_roll3_rel10,attention_binary,clinical_ridge,93,-0.08179231863442393,-0.24525942807192802,0.0896319444444442,0.08504105954693875,-0.1393928801768668,0.27500282655747693,0.012391647063497296,-0.009710082959537847,0.036107773152154035
mid_roll3_rel10,uniform_gls_aux,clinical_ridge,93,-0.19132290184921769,-0.3416201406120762,-0.02112761222910222,-0.02601176981154274,-0.2033264804454725,0.13337906839309913,0.01585952941230201,-0.007463025187729155,0.03830570702741785
mid_roll3_rel10,attention_gls_aux,clinical_ridge,93,-0.11166429587482218,-0.26251469017094015,0.04672810421286036,-0.012034027123775437,-0.19240550514397847,0.14972172154313892,0.012469258207632533,-0.011763050247131014,0.03656651167409192
mid_roll3_rel12,uniform_binary,clinical_ridge,93,-0.08544303797468356,-0.2803234649122807,0.11504119722869724,0.0004345576626483827,-0.2982726507028614,0.25887408543066665,-0.0026685798117010995,-0.030969130028610525,0.023026707591474203
mid_roll3_rel12,attention_binary,clinical_ridge,93,-0.02893309222423146,-0.17814484433460326,0.1491448135198134,0.030141040275032005,-0.20046780678917075,0.26630203439384625,0.006377789969282038,-0.017914021625448296,0.02864957813681224
mid_roll3_rel12,uniform_gls_aux,clinical_ridge,93,-0.0922242314647378,-0.2708584367900032,0.1007291666666666,-0.03420989907562505,-0.3067549137200525,0.21673910612716676,0.004516141582379896,-0.024159202421420972,0.03240419817265085
mid_roll3_rel12,attention_gls_aux,clinical_ridge,93,-0.04294755877034362,-0.23213033536585362,0.15948309127121943,-0.023774685376060034,-0.31649186952138686,0.2112203946187824,0.005018606724260799,-0.024114953255319333,0.03304022083253801
mid_roll3_rel15,uniform_binary,clinical_ridge,93,-0.10780423280423279,-0.3133179583758937,0.14552769070010457,0.07980747002791899,-0.2506996646091585,0.4083139582114885,0.009622183588253758,-0.017826020033492658,0.03753744442914517
mid_roll3_rel15,attention_binary,clinical_ridge,93,-0.10185185185185186,-0.308779761904762,0.12283033826638481,-0.02466230381872303,-0.2528004451191103,0.2537989107158728,0.019640305374072797,-0.012120201651587111,0.05129820252872573
mid_roll3_rel15,uniform_gls_aux,clinical_ridge,93,-0.1521164021164021,-0.3566634988073941,0.09877104377104373,0.10490370030931656,-0.258612850439416,0.43648161706242233,0.018609590111570123,-0.014571143611339788,0.048110635853815274
mid_roll3_rel15,attention_gls_aux,clinical_ridge,93,-0.06878306878306872,-0.31356295513272253,0.167263719512195,0.09518545594854116,-0.2217544576721925,0.4048737180517828,0.013574568945238147,-0.016827758492351207,0.044482825137112846
