model,subgroup_variable,subgroup,n,events,prevalence,roc_auc,average_precision,sensitivity_at_global_top20,false_positive_rate_at_global_top20,precision_at_global_top20,mean_score,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high
clinical_ridge,ef_group,EF >=55,210,42,0.2,0.6605725623582767,0.30377875879772054,0.35714285714285715,0.17261904761904762,0.3409090909090909,0.47029244109570756,0.5615968379446641,0.7524974815420693,0.2150479759165227,0.47555265951031434
clinical_ridge,endo_mid_gap_group,gap high,80,17,0.2125,0.7180205415499533,0.37326318872930475,0.5882352941176471,0.30158730158730157,0.3448275862068966,0.5028861716329807,0.5863511298442806,0.8451951269638289,0.21007927374763824,0.6601420236928217
clinical_ridge,endo_mid_gap_group,gap low,80,15,0.1875,0.6841025641025641,0.4801047461851423,0.26666666666666666,0.03076923076923077,0.6666666666666666,0.4268139046308884,0.5221196592672156,0.8307814945226917,0.26627983170666725,0.6830624447584851
clinical_ridge,endo_mid_gap_group,gap middle,78,17,0.21794871794871795,0.46962391513982643,0.21344950247307432,0.11764705882352941,0.18032786885245902,0.15384615384615385,0.45717859886862894,0.3044345238095238,0.6223239436619717,0.13159045192976368,0.365429351558729
clinical_ridge,variability_group,variability high,80,8,0.1,0.703125,0.3205690934655347,0.625,0.1388888888888889,0.3333333333333333,0.4459930305730813,0.4354102316602317,0.9409561965811966,0.11902955152955152,0.6748016656671695
clinical_ridge,variability_group,variability low,81,24,0.2962962962962963,0.5826023391812866,0.3493551446956039,0.25,0.19298245614035087,0.35294117647058826,0.4708220765740501,0.4589397223349714,0.7101813616071428,0.24196157837751808,0.5555484556397898
clinical_ridge,variability_group,variability middle,77,17,0.22077922077922077,0.6323529411764706,0.30842692296954866,0.29411764705882354,0.18333333333333332,0.3125,0.4703883917469874,0.4683030121591747,0.7809017811884212,0.17777268761508883,0.5426386943892847
clinical_ridge,curve_qc_group,all curves pass,185,44,0.23783783783783785,0.609284332688588,0.3123679490453936,0.3181818181818182,0.19858156028368795,0.3333333333333333,0.4762848160733963,0.5120545703051179,0.7166217497325295,0.22755341505885623,0.47751499429373134
clinical_ridge,curve_qc_group,at least one rejected,53,5,0.09433962264150944,0.7166666666666667,0.2458188153310104,0.4,0.08333333333333333,0.3333333333333333,0.41364614791102394,0.3920572916666667,0.9475,0.05555555555555555,0.7735406159748265
clinical_ridge,label_margin_group,3-8% from threshold,50,18,0.36,0.4131944444444444,0.3211836800520715,0.2222222222222222,0.375,0.25,0.5182459124335811,0.24222494697773064,0.6007894736842105,0.22661702335201725,0.5459616149691683
clinical_ridge,label_margin_group,>8% from threshold,157,16,0.10191082802547771,0.7318262411347517,0.29601598129744766,0.4375,0.09929078014184398,0.3333333333333333,0.43357744838496254,0.584222061332615,0.8535224770458548,0.14830008258880928,0.5739339508293501
clinical_ridge,label_margin_group,within 3% of threshold,31,15,0.4838709677419355,0.5083333333333333,0.4804274953341867,0.3333333333333333,0.375,0.45454545454545453,0.5178058643465938,0.2977493686868687,0.7726842948717948,0.30304785933763206,0.8080357731099919
existing_combined_trees,history_group,current=V1,103,26,0.2524271844660194,0.6163836163836163,0.3383473854096197,0.4230769230769231,0.2987012987012987,0.3235294117647059,0.37282410168215485,0.49229691075514875,0.722460660344222,0.22042807980079118,0.5307751080425495
existing_combined_trees,history_group,current>=V2,135,23,0.17037037037037037,0.6898291925465838,0.2979764885424802,0.17391304347826086,0.08928571428571429,0.2857142857142857,0.2557592789806402,0.5753853383458647,0.7980392484096441,0.19900016412847302,0.44503387211469253
existing_combined_trees,followup_interval_group,long,79,23,0.2911392405063291,0.6459627329192547,0.3842645470807796,0.21739130434782608,0.19642857142857142,0.3125,0.32162015669214694,0.5230612679211469,0.7716405500479692,0.24202220887194856,0.6153486359281204
existing_combined_trees,followup_interval_group,middle,79,11,0.13924050632911392,0.7112299465240642,0.3313321788202171,0.5454545454545454,0.17647058823529413,0.3333333333333333,0.29362022384593833,0.5060055433955082,0.8949857954545454,0.15930154803389174,0.6433437512779614
existing_combined_trees,followup_interval_group,short,80,15,0.1875,0.6328205128205128,0.28055405319632964,0.26666666666666666,0.15384615384615385,0.2857142857142857,0.3040549384142456,0.46094951923076927,0.7887125078603705,0.15112667400334537,0.5100387049875601
existing_combined_trees,baseline_gls_group,baseline GLS <18,161,24,0.14906832298136646,0.6262165450121654,0.21163710130731694,0.125,0.10218978102189781,0.17647058823529413,0.26415194037795087,0.5070166353101616,0.732553414434676,0.13286532738493967,0.34999615372059517
existing_combined_trees,baseline_gls_group,baseline GLS >=18,77,25,0.3246753246753247,0.6323076923076922,0.4119987663442287,0.48,0.36538461538461536,0.3870967741935484,0.3948041913610168,0.5056630315249268,0.7523463960052105,0.2873329276542208,0.6200396486190718
existing_combined_trees,current_decline_group,5-10%,25,9,0.36,0.701388888888889,0.5654182117568846,0.2222222222222222,0.0625,0.6666666666666666,0.2924256241995047,0.45490079365079367,0.907281746031746,0.3196066252587992,0.8997444985569986
existing_combined_trees,current_decline_group,<5%,190,35,0.18421052631578946,0.6812903225806451,0.30459406975386555,0.3142857142857143,0.17419354838709677,0.2894736842105263,0.30140393294279494,0.5784945610696157,0.7732070929233685,0.1906909085449545,0.47139047225337505
existing_combined_trees,current_decline_group,>=10%,23,5,0.21739130434782608,0.6222222222222222,0.31869218500797447,0.4,0.2777777777777778,0.2857142857142857,0.36308683789259694,0.34209690893901423,0.8666666666666667,0.1292478354978355,0.7092427497314714
existing_combined_trees,ef_group,EF >=55,210,42,0.2,0.6855158730158731,0.32241094760876443,0.35714285714285715,0.17857142857142858,0.3333333333333333,0.31123415018968864,0.6019557823129252,0.7710565873552643,0.23935340692186047,0.47141753197104097
existing_combined_trees,endo_mid_gap_group,gap high,80,17,0.2125,0.7703081232492996,0.37510224252590213,0.5294117647058824,0.23809523809523808,0.375,0.33074258168338105,0.6624967871955137,0.8700308485463151,0.2344234713166698,0.6246830288657798
existing_combined_trees,endo_mid_gap_group,gap low,80,15,0.1875,0.6738461538461538,0.409834305279194,0.2,0.046153846153846156,0.5,0.26005879322225367,0.5172573662896244,0.8187645687645688,0.21001621549983784,0.6462520993084738
existing_combined_trees,endo_mid_gap_group,gap middle,78,17,0.21794871794871795,0.5380906460945034,0.2834345212206357,0.17647058823529413,0.2459016393442623,0.16666666666666666,0.3290291685025333,0.3766439536340852,0.6773559689638319,0.1595735306499927,0.493091928514333
existing_combined_trees,variability_group,variability high,80,8,0.1,0.8055555555555556,0.38647073412698413,0.625,0.08333333333333333,0.45454545454545453,0.22818843420696305,0.5536927083333333,0.9612173913043478,0.1688063361611877,0.7505627391208936
existing_combined_trees,variability_group,variability low,81,24,0.2962962962962963,0.5628654970760234,0.39848784879354976,0.20833333333333334,0.21052631578947367,0.29411764705882354,0.34967191008740156,0.4274636380373746,0.7000260081823493,0.24154164421638719,0.5905869198306577
existing_combined_trees,variability_group,variability middle,77,17,0.22077922077922077,0.5745098039215686,0.2542259195223888,0.29411764705882354,0.25,0.25,0.34220630755859494,0.4062348484848485,0.7306556948798327,0.15991113230774917,0.42675365065626086
existing_combined_trees,curve_qc_group,all curves pass,185,44,0.23783783783783785,0.6365248226950354,0.3260932426475712,0.3409090909090909,0.2198581560283688,0.32608695652173914,0.3406179828870577,0.5489845684580863,0.7265280222357254,0.2437991229550749,0.4687319965187489
existing_combined_trees,curve_qc_group,at least one rejected,53,5,0.09433962264150944,0.725,0.21007799671592775,0.0,0.041666666666666664,0.0,0.1870577038026927,0.5098495370370371,0.9146212121212122,0.06236829501915709,0.5760392156862746
