task,comparison,reference_model,candidate_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high
mid_roll2_rel15,attention_vs_uniform,uniform_binary,attention_binary,194,0.0214211076280042,-0.024529666067942858,0.06498856987308459,0.008029786841185993,-0.020842273058836982,0.029403975440634875
mid_roll2_rel15,uniform_aux_vs_binary,uniform_binary,uniform_gls_aux,194,-0.011494252873563204,-0.05120495074198783,0.028996152238791723,0.009738634939603752,-0.016548948104350394,0.05692367843414111
mid_roll2_rel15,attention_aux_vs_binary,attention_binary,attention_gls_aux,194,-0.014524555903866254,-0.04945070390225048,0.0187231293566114,-0.005548089289938274,-0.02176901739929907,0.009396228939868752
mid_roll2_rel15,attention_aux_vs_uniform,uniform_binary,attention_gls_aux,194,0.006896551724137945,-0.044006702321703506,0.06212904810157999,0.002481697551247719,-0.02553720113409455,0.026537405180861357
mid_roll2_rel20,attention_vs_uniform,uniform_binary,attention_binary,194,-0.019549511262218378,-0.07379097837287198,0.030531917429443174,-0.002399052165355936,-0.015198965460753678,0.016550646925735005
mid_roll2_rel20,uniform_aux_vs_binary,uniform_binary,uniform_gls_aux,194,-0.016999575010624657,-0.06406617843766718,0.030155364713340536,-0.004878043799784626,-0.034061604129581126,0.005901525773351214
mid_roll2_rel20,attention_aux_vs_binary,attention_binary,attention_gls_aux,194,-0.04164895877603064,-0.10388392033929562,0.014684168827427253,-0.005373431121456898,-0.019023975706286885,0.00517703701819176
mid_roll2_rel20,attention_aux_vs_uniform,uniform_binary,attention_gls_aux,194,-0.06119847003824902,-0.14203389830508473,0.0221017259117641,-0.007772483286812834,-0.023502509163492113,0.009565169239423013
mid_roll3_rel10,attention_vs_uniform,uniform_binary,attention_binary,93,0.05263157894736836,-0.07216478357323433,0.17337611408199646,0.061392714841215945,-0.025590463700204392,0.15291001539573046
mid_roll3_rel10,uniform_aux_vs_binary,uniform_binary,uniform_gls_aux,93,-0.05689900426742539,-0.1375071022727273,0.013661680226285217,-0.04966011451726554,-0.16401015951396872,0.0038551377259432736
mid_roll3_rel10,attention_aux_vs_binary,attention_binary,attention_gls_aux,93,-0.02987197724039825,-0.11618211120064464,0.07205787037037012,-0.09707508667071418,-0.18722968855222855,0.028651468267793467
mid_roll3_rel10,attention_aux_vs_uniform,uniform_binary,attention_gls_aux,93,0.022759601706970112,-0.10635312137324231,0.1565434939180538,-0.03568237182949824,-0.11499673951587308,0.06954020283675727
mid_roll3_rel12,attention_vs_uniform,uniform_binary,attention_binary,93,0.056509945750452095,-0.04218921139101854,0.19136242032583486,0.029706482612383622,-0.0831207763364831,0.17523208694709397
mid_roll3_rel12,uniform_aux_vs_binary,uniform_binary,uniform_gls_aux,93,-0.006781193490054238,-0.05900414849484097,0.04743723049102786,-0.03464445673827343,-0.12285277114264166,0.011872971589321721
mid_roll3_rel12,attention_aux_vs_binary,attention_binary,attention_gls_aux,93,-0.014014466546112159,-0.09718863122171952,0.05429170300096948,-0.05391572565109204,-0.19357441124835564,0.02425179500611366
mid_roll3_rel12,attention_aux_vs_uniform,uniform_binary,attention_gls_aux,93,0.042495479204339937,-0.07615384615384621,0.14829618166643482,-0.024209243038708417,-0.12339791982859785,0.04141070413292188
mid_roll3_rel15,attention_vs_uniform,uniform_binary,attention_binary,93,0.005952380952380931,-0.09571457609373614,0.10732061999303366,-0.10446977384664202,-0.24982546700237812,0.029480822665388637
mid_roll3_rel15,uniform_aux_vs_binary,uniform_binary,uniform_gls_aux,93,-0.0443121693121693,-0.09441056910569111,0.0007812500000000744,0.02509623028139757,-0.028265114937538714,0.1274143000923815
mid_roll3_rel15,attention_aux_vs_binary,attention_binary,attention_gls_aux,93,0.033068783068783136,-0.011191665888359712,0.08640027070259626,0.1198477597672642,0.0006839723057007431,0.2818821202503107
mid_roll3_rel15,attention_aux_vs_uniform,uniform_binary,attention_gls_aux,93,0.03902116402116407,-0.07529166666666667,0.14189569251918885,0.015377985920622173,-0.08591701293280654,0.11946017002620124
