model,feature,feature_family,description,used_fraction,auc_drop_screen,auc_drop_split_sd,auc_positive_split_fraction,ap_drop_screen,ap_drop_split_sd,ap_positive_split_fraction,native_importance_mean,selection_fraction,coefficient_median_when_selected,coefficient_sign_consistency,auc_rank_screen,ap_rank_screen,native_rank
clinical_plus_transmural_sparse,cur_tm_vendor_ttp_gap_p90_p10,Endo–Mid,Current visit: Endo–Mid vendor time-to-peak gap P90–P10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057132287790495034,0.26666666666666666,-0.1825233355512315,1.0,1.0,1.0,21.0
clinical_plus_transmural_sparse,d_tm_vendor_ttp_gap_p90_p10,Endo–Mid,Change since previous visit: Endo–Mid vendor time-to-peak gap P90–P10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03293651222429903,0.5333333333333333,0.059123657710371647,1.0,1.0,1.0,29.0
clinical_plus_transmural_sparse,cur_tm_vendor_ttp_gap_median,Endo–Mid,Current visit: Endo–Mid vendor time-to-peak gap median,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003985265086717835,0.06666666666666667,-0.05977897630076753,1.0,1.0,1.0,52.0
clinical_plus_transmural_sparse,d_tm_vendor_ttp_gap_median,Endo–Mid,Change since previous visit: Endo–Mid vendor time-to-peak gap median,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_curve_rms_mean,Endo–Mid,Current visit: Endo–Mid curve RMS mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_curve_rms_mean,Endo–Mid,Change since previous visit: Endo–Mid curve RMS mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_curve_rms_std,Endo–Mid,Current visit: Endo–Mid curve RMS std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_curve_rms_std,Endo–Mid,Change since previous visit: Endo–Mid curve RMS std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_curve_rms_robust_sd,Endo–Mid,Current visit: Endo–Mid curve RMS robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_curve_rms_robust_sd,Endo–Mid,Change since previous visit: Endo–Mid curve RMS robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044596857211499905,0.26666666666666666,0.14514093232644631,1.0,1.0,1.0,22.0
clinical_plus_transmural_sparse,cur_tm_curve_rms_iqr,Endo–Mid,Current visit: Endo–Mid curve RMS IQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_curve_rms_iqr,Endo–Mid,Change since previous visit: Endo–Mid curve RMS IQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_curve_rms_p90_p10,Endo–Mid,Current visit: Endo–Mid curve RMS P90–P10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_curve_rms_p90_p10,Endo–Mid,Change since previous visit: Endo–Mid curve RMS P90–P10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_curve_rms_median,Endo–Mid,Current visit: Endo–Mid curve RMS median,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_curve_rms_median,Endo–Mid,Change since previous visit: Endo–Mid curve RMS median,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_curve_abs_area_mean,Endo–Mid,Current visit: Endo–Mid curve abs area mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_curve_abs_area_mean,Endo–Mid,Change since previous visit: Endo–Mid curve abs area mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_curve_abs_area_std,Endo–Mid,Current visit: Endo–Mid curve abs area std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_curve_abs_area_std,Endo–Mid,Change since previous visit: Endo–Mid curve abs area std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_curve_abs_area_robust_sd,Endo–Mid,Current visit: Endo–Mid curve abs area robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_curve_abs_area_robust_sd,Endo–Mid,Change since previous visit: Endo–Mid curve abs area robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
