stage,item,base_auc,base_ap,auc_drop,auc_drop_permutation_mean,auc_drop_permutation_low,auc_drop_permutation_high,ap_drop,ap_drop_permutation_mean,ap_drop_permutation_low,ap_drop_permutation_high,auc_ci_low,auc_ci_high,ap_ci_low,ap_ci_high,rank_auc,rank_ap
catch22,segment_aggregation::min,0.6459345643019112,0.3289288420558695,0.0361731994385055,0.035287765900010815,0.02143397041356221,0.05231616456106247,0.0335392024257678,0.040429907502733675,0.009569922100438666,0.060566871458956006,-0.0035282799988683414,0.07758329589697503,-0.008131623802279529,0.09785040654859112,1,4
catch22,segment_aggregation::max,0.6459345643019112,0.3289288420558695,-0.015117157974300799,-0.015160349854227428,-0.017060792570996686,-0.012784796458265912,0.0038414679346154834,0.00727252570795095,-0.0018992480384379395,0.01923998195280835,,,,,62,32
catch22,segment_aggregation::median,0.6459345643019112,0.3289288420558695,0.009070294784580435,0.010171687722708156,0.006705539358600521,0.013076341647770162,0.012304324845566927,0.009459201404566464,0.004372779738330168,0.015655431788087426,-0.012540530464607458,0.03341501398423591,-0.018653865695808434,0.05679483625268726,10,14
catch22,catch22_descriptor::CO_Embed2_Dist_tau_d_expfit_meandiff,0.6459345643019112,0.3289288420558695,-0.003995248893208125,-0.004686318972033199,-0.005377389050858494,-0.003757693553611996,-0.003596942893549393,-0.0036579828235253076,-0.004493484138718862,-0.0026622225306121017,,,,,50,52
catch22,catch22_descriptor::CO_FirstMin_ac,0.6459345643019112,0.3289288420558695,-0.0014037360976136837,-0.0012093726379440728,-0.0030774214447684134,0.00022675736961452753,-0.008545728755897208,-0.005824231189596352,-0.011406029974479093,-0.002350419294233186,,,,,38,61
catch22,catch22_descriptor::CO_HistogramAMI_even_2_5,0.6459345643019112,0.3289288420558695,-0.005075045891372421,-0.006586761688802567,-0.008444012525645195,-0.005506964690638161,-0.005055014449512396,-0.005361093237379544,-0.009200543666373906,-0.0006002617050785974,,,,,52,56
catch22,catch22_descriptor::CO_f1ecac,0.6459345643019112,0.3289288420558695,0.006154842889536716,0.007839326206673158,0.0060900550696469935,0.010722384191771961,0.03231952950912664,0.03415162409356498,0.030029964591076985,0.04389419010144058,-0.0131767413332189,0.024522389781878286,0.0029031823795881997,0.07412677901395039,17,6
catch22,catch22_descriptor::CO_trev_1_num,0.6459345643019112,0.3289288420558695,-0.01684483317136387,-0.017341539790519445,-0.01946873987690312,-0.012590432998596301,-0.005825954090961982,-0.010178540474855502,-0.02043794865332932,0.0009537194912285774,,,,,63,58
catch22,catch22_descriptor::DN_HistogramMode_10,0.6459345643019112,0.3289288420558695,-0.006046863189720364,-0.006068459129683568,-0.011024727351258035,-0.003282582874419626,0.006185998122542169,0.009136051153623481,0.0019815455904036994,0.016713137569707326,-0.022838835568917675,0.0082943609906238,-0.030527861128695398,0.040784235977397845,55,28
catch22,catch22_descriptor::DN_HistogramMode_5,0.6459345643019112,0.3289288420558695,-0.005183025591188883,-0.004923874311629439,-0.011035525321239636,-0.0024943310657595807,0.006554038171589949,0.007810446681937866,0.002909248280390242,0.013518234124451967,-0.02244870136093529,0.010204827545053008,-0.020161487719146904,0.044617693436441765,53,26
catch22,catch22_descriptor::DN_OutlierInclude_n_001_mdrmd,0.6459345643019112,0.3289288420558695,0.003131411294676534,0.0028074721952272563,-0.002116402116402072,0.010689990281826933,0.01596709451113626,0.016048969052867124,0.009881161162105079,0.021283343386099274,-0.015363139414863641,0.02000324675324677,-0.012634167168067954,0.051825343651736654,21,11
catch22,catch22_descriptor::DN_OutlierInclude_p_001_mdrmd,0.6459345643019112,0.3289288420558695,0.029262498650253654,0.031702839866105115,0.024489795918367308,0.040362811791383235,0.033558640531902384,0.034132686098703235,0.014895264633387473,0.042094025690536996,-0.014737329900373464,0.06864054827200745,-0.009636095133443847,0.09692342604192294,4,3
