split,seed_index,shapelet_index,importance_abs_standardized_coefficient_sum,coef_minimum_distance,coef_best_match_location,coef_shapelet_occurrence,startpoint,length_points,dilation,effective_span,normalized,threshold,source_class,dominant_inputs
10,1,192,0.17615670509375017,0.015871551321956903,0.03308151511757892,-0.12720363865421436,27,11,2,21,False,16258.590520800853,0,S06:current_endo;S06:current_mid;S15:current_endo;S16:current_endo;S10:current_endo
11,1,506,0.1756194706849364,0.03290035772217721,0.11057622075973085,-0.03214289220302834,49,11,2,21,True,931.5800541757741,0,S13:current_endo_minus_mid;S15:change_endo_minus_mid;S13:change_mid;S09:change_mid;S13:change_endo
14,1,949,0.17555047281744904,-0.045592246074982086,-0.09217867070122983,0.03777955604123711,57,11,1,11,True,881.6779979128843,1,S11:change_endo;S10:change_endo_minus_mid;S11:change_mid;S07:current_endo_minus_mid;S06:change_endo_minus_mid
7,2,681,0.17550721771362643,-0.07776918609620577,-0.03007727644586467,0.06766075517155598,1,11,1,11,True,968.6689686824448,1,S06:change_mid;S06:change_endo;S11:current_mid;S14:change_endo_minus_mid;S05:change_endo_minus_mid
6,1,683,0.17505824232059697,0.04106019558977102,-0.07710844248482199,-0.056889604246003964,61,11,1,11,True,856.3586530643609,0,S04:change_endo_minus_mid;S14:change_mid;S18:current_endo_minus_mid;S06:change_endo;S12:change_mid
6,0,1181,0.17449242503984508,0.03442895997087393,-0.10894293939104199,0.031120525677929164,68,11,1,11,True,1237.378131040901,0,S11:current_endo_minus_mid;S15:change_mid;S09:current_endo;S10:current_endo;S09:current_mid
8,2,386,0.17448363352347865,0.023021730126003528,0.028361273958255308,-0.12310062943921982,49,11,2,21,False,13417.809788224109,0,S16:current_endo;S07:current_endo;S07:current_mid;S09:current_endo;S18:current_endo
3,2,197,0.17418200888136776,-0.0634361396077567,-0.07727615122297218,0.03346971805063886,63,11,3,31,True,968.2228453722164,1,S10:change_mid;S10:change_endo_minus_mid;S13:change_endo;S07:change_endo_minus_mid;S13:change_mid
6,2,690,0.17398863394391903,-0.06956062533862073,0.06194410389380396,0.04248390471149436,76,11,1,11,True,1168.967440498108,1,S17:change_endo;S17:change_mid;S14:current_endo;S08:current_mid;S04:current_endo
2,2,793,0.17374392766271354,-0.02713420718126471,-0.0011809185575083793,0.14542880192394045,11,11,5,51,False,7633.525188587745,1,S06:current_endo;S06:current_mid;S18:current_endo;S17:current_endo;S07:current_endo
6,1,1090,0.1730792643953339,-0.02528649211163065,-0.054714702276173505,0.09307807000752974,28,11,1,11,False,7653.51470090547,1,S05:current_endo;S05:current_mid;S06:current_endo;S13:current_endo;S16:current_endo
5,1,482,0.17247777705675538,-0.013241236605157927,-0.09529602643136638,0.06394051402023107,61,11,2,21,True,1129.2371711625522,0,S14:change_endo;S01:current_endo;S03:current_endo;S01:current_mid;S18:current_mid
14,2,321,0.17179098283710448,-0.01104606909343264,0.060208464795004885,-0.10053644894866695,36,11,2,21,False,14770.22679744699,0,S04:current_endo;S18:current_endo;S04:current_mid;S18:current_mid;S16:current_endo
5,0,477,0.171753109453508,-0.017067376863309,-0.028119302537649337,0.12656643005254967,14,11,3,31,False,6805.9953302415515,1,S16:current_endo;S05:current_endo;S13:current_endo;S05:current_mid;S13:current_mid
14,0,352,0.17148899588878053,0.047271055199103865,-0.08769754911235035,-0.036520391577326304,1,11,1,11,True,1068.8616233580835,0,S10:current_mid;S12:current_endo_minus_mid;S10:current_endo;S01:current_endo_minus_mid;S05:current_endo
5,2,1137,0.1714873727121459,-0.051191225984177094,0.004686893316511153,0.11560925341145764,49,11,1,11,False,18457.481409778888,1,S04:current_endo;S05:current_endo;S06:current_endo;S06:current_mid;S04:current_mid
3,0,902,0.17140777750005112,0.009676895060208813,-0.008027216786301741,-0.15370366565354057,46,11,4,41,False,12515.094347459251,0,S18:current_endo;S18:current_mid;S13:current_endo;S13:current_mid;S14:current_endo
5,1,743,0.17136297407475362,0.024296668260103984,0.12125990094099616,-0.025806404873653484,79,11,1,11,True,989.9041779236763,0,S03:current_endo_minus_mid;S05:current_endo_minus_mid;S11:current_endo_minus_mid;S08:current_mid;S04:change_endo
14,1,1059,0.17093355903122243,-0.027936451249147027,-0.03804484790372319,0.10495225987835219,2,11,5,51,False,5456.307019584427,1,S05:current_endo;S14:current_endo;S05:current_mid;S01:current_endo;S01:current_mid
