split,transition_index,segment,attention_weight
0,146,14,0.049996789544820786
0,146,15,0.08081667870283127
0,146,16,0.08802603930234909
0,146,17,0.050858572125434875
0,146,18,0.05629530921578407
0,147,1,0.05698245391249657
0,147,2,0.04449731484055519
0,147,3,0.03041870705783367
0,147,4,0.038268472999334335
0,147,5,0.06211111694574356
0,147,6,0.04836628586053848
0,147,7,0.046128902584314346
0,147,8,0.07824790477752686
0,147,9,0.05481286719441414
0,147,10,0.04298374056816101
0,147,11,0.04191377013921738
0,147,12,0.03765850514173508
0,147,13,0.08236426115036011
0,147,14,0.05127865821123123
0,147,15,0.07365080714225769
0,147,16,0.10411817580461502
0,147,17,0.05754164606332779
0,147,18,0.04865644872188568
0,148,1,0.04243370518088341
0,148,2,0.04430217295885086
0,148,3,0.03429890424013138
0,148,4,0.04333406686782837
0,148,5,0.06712530553340912
0,148,6,0.04426433518528938
0,148,7,0.04718244820833206
0,148,8,0.07430094480514526
0,148,9,0.0574994795024395
0,148,10,0.04091283679008484
0,148,11,0.04580902308225632
0,148,12,0.03303731605410576
0,148,13,0.08849342167377472
0,148,14,0.057024162262678146
0,148,15,0.07354295998811722
0,148,16,0.09121339023113251
0,148,17,0.06433350592851639
0,148,18,0.05089199170470238
0,149,1,0.032128628343343735
0,149,2,0.04562881961464882
0,149,3,0.03368876129388809
0,149,4,0.04308463633060455
0,149,5,0.06555203348398209
0,149,6,0.030376799404621124
0,149,7,0.03652976453304291
0,149,8,0.06730344146490097
0,149,9,0.05365898460149765
0,149,10,0.03789232298731804
0,149,11,0.03706428036093712
0,149,12,0.033361878246068954
0,149,13,0.08786600083112717
0,149,14,0.0794190838932991
0,149,15,0.08790891617536545
0,149,16,0.09321372210979462
0,149,17,0.06300999969244003
0,149,18,0.07231190800666809
0,150,1,0.044045139104127884
0,150,2,0.0414726547896862
0,150,3,0.031240306794643402
0,150,4,0.050745174288749695
0,150,5,0.06698069721460342
0,150,6,0.03855309262871742
0,150,7,0.0525096096098423
0,150,8,0.07615894079208374
0,150,9,0.05665180832147598
0,150,10,0.039186518639326096
0,150,11,0.04740374907851219
0,150,12,0.045598872005939484
0,150,13,0.08162685483694077
0,150,14,0.05407073721289635
0,150,15,0.07112672179937363
0,150,16,0.09632093459367752
0,150,17,0.054308876395225525
0,150,18,0.051999323070049286
0,187,1,0.043684221804142
0,187,2,0.04445889592170715
0,187,3,0.031866561621427536
0,187,4,0.04404565319418907
0,187,5,0.0939243733882904
0,187,6,0.049530934542417526
0,187,7,0.04086880758404732
0,187,8,0.0784001499414444
0,187,9,0.06037622317671776
0,187,10,0.04057552292943001
0,187,11,0.052867185324430466
0,187,12,0.04482400417327881
0,187,13,0.06321198493242264
0,187,14,0.050175994634628296
0,187,15,0.07357823103666306
0,187,16,0.08288796246051788
0,187,17,0.05996490269899368
0,187,18,0.0447583943605423
0,188,1,0.05113969370722771
0,188,2,0.04621214047074318
0,188,3,0.02890470251441002
0,188,4,0.04922861233353615
0,188,5,0.05184366554021835
0,188,6,0.035536035895347595
0,188,7,0.05183101445436478
0,188,8,0.08059164136648178
0,188,9,0.050168927758932114
0,188,10,0.04549013823270798
0,188,11,0.045473482459783554
0,188,12,0.04433070868253708
0,188,13,0.07305777072906494
0,188,14,0.05379056558012962
0,188,15,0.0882105827331543
0,188,16,0.08714034408330917
0,188,17,0.04994284734129906
0,188,18,0.06710707396268845
0,189,1,0.04348636418581009
0,189,2,0.04598686099052429
0,189,3,0.03520558774471283
0,189,4,0.05421553924679756
0,189,5,0.0789794921875
0,189,6,0.0344320610165596
0,189,7,0.05659588426351547
0,189,8,0.08602495491504669
0,189,9,0.05663735419511795
0,189,10,0.03616606816649437
0,189,11,0.04666830599308014
0,189,12,0.051323968917131424
0,189,13,0.07669920474290848
0,189,14,0.05312798544764519
0,189,15,0.07096981257200241
0,189,16,0.08485683798789978
0,189,17,0.042363788932561874
0,189,18,0.04625993221998215
0,190,1,0.045256562530994415
0,190,2,0.04241093620657921
0,190,3,0.031900327652692795
0,190,4,0.0560004860162735
0,190,5,0.0728069618344307
0,190,6,0.044008973985910416
0,190,7,0.04960156977176666
0,190,8,0.08675642311573029
0,190,9,0.05916273966431618
0,190,10,0.04430543631315231
0,190,11,0.05398678034543991
0,190,12,0.04369315505027771
0,190,13,0.08008001744747162
0,190,14,0.04640903323888779
0,190,15,0.07464278489351273
0,190,16,0.08169933408498764
0,190,17,0.04552251100540161
0,190,18,0.04175596684217453
0,191,1,0.05014310032129288
0,191,2,0.04056376963853836
0,191,3,0.0346040315926075
0,191,4,0.049996405839920044
0,191,5,0.06481082737445831
0,191,6,0.03891289234161377
0,191,7,0.049862321466207504
0,191,8,0.08548390120267868
0,191,9,0.05593866482377052
0,191,10,0.05154569819569588
0,191,11,0.047747690230607986
0,191,12,0.0429997518658638
0,191,13,0.07510848343372345
0,191,14,0.04536138474941254
0,191,15,0.07551299035549164
0,191,16,0.09824734926223755
0,191,17,0.048850167542696
0,191,18,0.044310588389635086
0,192,1,0.04915901646018028
0,192,2,0.040623873472213745
0,192,3,0.03418055921792984
0,192,4,0.04783304035663605
0,192,5,0.06900449097156525
0,192,6,0.042465753853321075
0,192,7,0.047728050500154495
0,192,8,0.08520917594432831
0,192,9,0.05970383808016777
0,192,10,0.038953907787799835
0,192,11,0.051795653998851776
0,192,12,0.04097624123096466
0,192,13,0.07530706375837326
0,192,14,0.0461130253970623
0,192,15,0.08380624651908875
0,192,16,0.09505770355463028
0,192,17,0.045094333589076996
0,192,18,0.04698809236288071
0,199,1,0.04705538973212242
0,199,2,0.05106567591428757
0,199,3,0.03501558676362038
0,199,4,0.04873910918831825
0,199,5,0.07743930071592331
0,199,6,0.05157940089702606
0,199,7,0.048407070338726044
0,199,8,0.1025904044508934
0,199,9,0.049199383705854416
0,199,10,0.03616680949926376
0,199,11,0.0492955707013607
0,199,12,0.03904661908745766
